"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;9;2;90698;0.0;0.0
0-2;M;1;0;95628;0.0;0.0
3-5;K;7471;420;91414;8.2;0.5
3-5;M;8176;436;96684;8.5;0.5
6-11;K;81828;18053;179975;45.5;10.0
6-11;M;86561;19221;189230;45.7;10.2
12-15;K;118261;111274;144821;81.7;76.8
12-15;M;124196;116910;152510;81.4;76.7
16-19;K;123700;121174;137101;90.2;88.4
16-19;M;126350;122980;142270;88.8;86.4
20-39;K;618516;599098;732623;84.4;81.8
20-39;M;623091;602801;761759;81.8;79.1
40-64;K;890194;883154;952482;93.5;92.7
40-64;M;881414;873753;954535;92.3;91.5
65-79;K;450195;448942;464043;97.0;96.7
65-79;M;413326;412139;425636;97.1;96.8
80+;K;152525;151899;157900;96.6;96.2
80+;M;102461;102123;105307;97.3;97.0
