"Vaccinedato";"geo";"Antal færdigvacc. personer";"Antal borgere";"Færdigvacc. (%)";"Kumuleret antal færdigvacc."
2020-12-29;Nationalt;1;5874616;0.00;1
2021-01-01;Nationalt;1;5874616;0.00;2
2021-01-04;Nationalt;1;5874616;0.00;3
2021-01-07;Nationalt;1;5874616;0.00;4
2021-01-08;Nationalt;1;5874616;0.00;5
2021-01-09;Nationalt;2;5874616;0.00;7
2021-01-12;Nationalt;2;5874616;0.00;9
2021-01-13;Nationalt;4;5874616;0.00;13
2021-01-14;Nationalt;1;5874616;0.00;14
2021-01-15;Nationalt;5;5874616;0.00;19
2021-01-16;Nationalt;10;5874616;0.00;29
2021-01-17;Nationalt;637;5874616;0.01;666
2021-01-18;Nationalt;1941;5874616;0.04;2607
2021-01-19;Nationalt;1898;5874616;0.08;4505
2021-01-20;Nationalt;1721;5874616;0.11;6226
2021-01-21;Nationalt;2162;5874616;0.14;8388
2021-01-22;Nationalt;5265;5874616;0.23;13653
2021-01-23;Nationalt;6448;5874616;0.34;20101
2021-01-24;Nationalt;5832;5874616;0.44;25933
2021-01-25;Nationalt;2285;5874616;0.48;28218
2021-01-26;Nationalt;1608;5874616;0.51;29826
2021-01-27;Nationalt;4080;5874616;0.58;33906
2021-01-28;Nationalt;7784;5874616;0.71;41690
2021-01-29;Nationalt;17144;5874616;1.00;58834
2021-01-30;Nationalt;11892;5874616;1.20;70726
2021-01-31;Nationalt;11212;5874616;1.39;81938
2021-02-01;Nationalt;7498;5874616;1.52;89436
2021-02-02;Nationalt;2859;5874616;1.57;92295
2021-02-03;Nationalt;5938;5874616;1.67;98233
2021-02-04;Nationalt;10421;5874616;1.85;108654
2021-02-05;Nationalt;12699;5874616;2.07;121353
2021-02-06;Nationalt;6411;5874616;2.17;127764
2021-02-07;Nationalt;3435;5874616;2.23;131199
2021-02-08;Nationalt;6722;5874616;2.35;137921
2021-02-09;Nationalt;4664;5874616;2.43;142585
2021-02-10;Nationalt;3752;5874616;2.49;146337
2021-02-11;Nationalt;2380;5874616;2.53;148717
2021-02-12;Nationalt;7516;5874616;2.66;156233
2021-02-13;Nationalt;919;5874616;2.68;157152
2021-02-14;Nationalt;603;5874616;2.69;157755
2021-02-15;Nationalt;3082;5874616;2.74;160837
2021-02-16;Nationalt;1302;5874616;2.76;162139
2021-02-17;Nationalt;413;5874616;2.77;162552
2021-02-18;Nationalt;320;5874616;2.77;162872
