"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16871,0
AstraZeneca Covid-19 vaccine,Midtjylland,33613,3
AstraZeneca Covid-19 vaccine,Syddanmark,30420,248
AstraZeneca Covid-19 vaccine,Hovedstaden,45120,12
AstraZeneca Covid-19 vaccine,Sjælland,23866,332
Moderna Covid-19 Vaccine,Nordjylland,4545,4024
Moderna Covid-19 Vaccine,Midtjylland,16520,4254
Moderna Covid-19 Vaccine,Syddanmark,14943,6068
Moderna Covid-19 Vaccine,Hovedstaden,24736,6153
Moderna Covid-19 Vaccine,Sjælland,15025,3657
Pfizer BioNTech Covid-19 vacc,Nordjylland,79029,44989
Pfizer BioNTech Covid-19 vacc,Midtjylland,165414,100099
Pfizer BioNTech Covid-19 vacc,Syddanmark,154268,95217
Pfizer BioNTech Covid-19 vacc,Hovedstaden,234294,133146
Pfizer BioNTech Covid-19 vacc,Sjælland,118278,63004
