"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;481125;466751;56564;74.6;72.4;8.8;644946
Frederiksberg;82501;80576;12776;79.4;77.5;12.3;103956
Ballerup;36796;35922;7006;74.8;73.0;14.2;49198
Brøndby;24452;23701;4084;68.8;66.7;11.5;35538
Dragør;11449;11198;2399;78.5;76.8;16.4;14588
Gentofte;58111;56793;10646;78.3;76.5;14.3;74198
Gladsaxe;51883;50704;8577;74.9;73.2;12.4;69304
Glostrup;17334;16877;3222;73.8;71.8;13.7;23498
Herlev;21303;20729;4308;73.9;71.9;14.9;28837
Albertslund;19347;18607;3448;70.3;67.6;12.5;27539
Hvidovre;38978;37913;6326;73.1;71.1;11.9;53305
Høje Tåstrup;37245;35970;7006;70.4;68.0;13.2;52906
Lyngby-Taarbæk;45356;44395;7815;78.4;76.7;13.5;57873
Rødovre;30176;29313;4819;73.0;70.9;11.7;41330
Ishøj;15295;14666;2879;66.0;63.3;12.4;23171
Tårnby;32142;31334;5284;75.3;73.4;12.4;42696
Vallensbæk;11732;11412;2320;71.2;69.2;14.1;16482
Furesø;31793;31154;6913;76.8;75.3;16.7;41393
Allerød;20537;20225;4356;79.4;78.1;16.8;25881
Fredensborg;31548;30858;6653;76.7;75.0;16.2;41146
Helsingør;49258;47976;9858;78.2;76.1;15.6;63023
Hillerød;41398;40476;8480;78.0;76.2;16.0;53106
Hørsholm;20075;19683;5119;81.0;79.4;20.7;24778
Rudersdal;45380;44487;9373;79.2;77.6;16.4;57296
Egedal;34749;34013;5947;78.3;76.7;13.4;44357
Frederikssund;36636;35853;7325;80.1;78.4;16.0;45730
Greve;38378;37446;6870;75.6;73.7;13.5;50796
Køge;47834;46671;8811;77.4;75.5;14.3;61785
Halsnæs;24823;24294;5234;79.2;77.5;16.7;31328
Roskilde;70738;69220;13949;79.2;77.5;15.6;89367
Solrød;18265;17871;3397;77.1;75.4;14.3;23701
Gribskov;32594;31834;6932;79.3;77.5;16.9;41090
Odsherred;26544;26006;5543;80.7;79.1;16.9;32874
Holbæk;57463;56030;10926;78.9;77.0;15.0;72796
Faxe;28817;28101;5036;77.7;75.8;13.6;37093
Kalundborg;37910;36988;7297;78.3;76.4;15.1;48434
Ringsted;26434;25802;3737;75.3;73.5;10.6;35092
Slagelse;61537;59858;13460;77.3;75.2;16.9;79628
Stevns;18422;18069;3454;78.7;77.2;14.8;23407
Sorø;23681;23176;4995;79.0;77.3;16.7;29977
Lejre;22412;21896;4484;78.3;76.5;15.7;28634
Lolland;31437;30638;7505;78.3;76.3;18.7;40149
Næstved;65491;63877;13023;78.2;76.3;15.6;83721
Guldborgsund;47565;46433;10736;78.9;77.0;17.8;60287
Vordingborg;35795;34970;7173;78.9;77.1;15.8;45351
Bornholm;32424;31720;8987;81.7;80.0;22.7;39674
Middelfart;31794;31185;6508;80.4;78.8;16.4;39569
Assens;32945;32326;5702;80.5;79.0;13.9;40941
Faaborg-Midtfyn;41465;40627;8199;80.0;78.4;15.8;51848
Kerteminde;19361;19002;3770;80.7;79.2;15.7;24001
Nyborg;25933;25396;4673;80.8;79.1;14.6;32089
Odense;162927;159016;30230;79.0;77.1;14.7;206139
Svendborg;47622;46543;10659;80.5;78.7;18.0;59161
Nordfyn;23547;23067;4284;79.2;77.6;14.4;29724
