"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90550;0.0;0.0
0-2;M;1;0;95590;0.0;0.0
3-5;K;4;1;91059;0.0;0.0
3-5;M;5;2;96215;0.0;0.0
6-11;K;1041;6;179572;0.6;0.0
6-11;M;1089;5;188890;0.6;0.0
12-15;K;99757;89896;132483;75.3;67.9
12-15;M;105252;95022;139934;75.2;67.9
16-19;K;118758;115322;134371;88.4;85.8
16-19;M;121874;117481;140361;86.8;83.7
20-39;K;602226;574006;732399;82.2;78.4
20-39;M;609138;580648;762239;79.9;76.2
40-64;K;879130;869027;946348;92.9;91.8
40-64;M;869004;858172;947868;91.7;90.5
65-79;K;455349;454068;470141;96.9;96.6
65-79;M;419821;418603;433127;96.9;96.6
80+;K;167608;167020;173444;96.6;96.3
80+;M;115072;114772;118198;97.4;97.1
