"Vaccinedato";"Regionsnavn";"Kumulerede antal færdigvacc.";"Antal borgere";"Vaccinations dækning (%)"
2021-01-01;Hovedstaden;0;1868167;0.00
2021-01-04;Hovedstaden;0;1868167;0.00
2021-01-07;Hovedstaden;0;1868167;0.00
2021-01-08;Hovedstaden;1;1868167;0.00
2021-01-09;Hovedstaden;3;1868167;0.00
2021-01-12;Hovedstaden;3;1868167;0.00
2021-01-13;Hovedstaden;4;1868167;0.00
2021-01-14;Hovedstaden;5;1868167;0.00
2021-01-15;Hovedstaden;10;1868167;0.00
2021-01-16;Hovedstaden;11;1868167;0.00
2021-01-17;Hovedstaden;52;1868167;0.00
2021-01-18;Hovedstaden;189;1868167;0.01
2021-01-19;Hovedstaden;361;1868167;0.02
2021-01-20;Hovedstaden;494;1868167;0.03
2021-01-21;Hovedstaden;611;1868167;0.03
2021-01-22;Hovedstaden;693;1868167;0.04
2021-01-23;Hovedstaden;4546;1868167;0.24
2021-01-24;Hovedstaden;8241;1868167;0.44
2021-01-25;Hovedstaden;8477;1868167;0.45
2021-01-26;Hovedstaden;8614;1868167;0.46
2021-01-27;Hovedstaden;9238;1868167;0.49
2021-01-28;Hovedstaden;12939;1868167;0.69
2021-01-29;Hovedstaden;20138;1868167;1.08
2021-01-30;Hovedstaden;24466;1868167;1.31
2021-01-31;Hovedstaden;26926;1868167;1.44
2021-02-01;Hovedstaden;28810;1868167;1.54
2021-02-02;Hovedstaden;28923;1868167;1.55
2021-02-03;Hovedstaden;31786;1868167;1.70
2021-02-04;Hovedstaden;38067;1868167;2.04
2021-02-05;Hovedstaden;42818;1868167;2.29
2021-02-06;Hovedstaden;45755;1868167;2.45
2021-02-07;Hovedstaden;46323;1868167;2.48
2021-02-08;Hovedstaden;47453;1868167;2.54
2021-02-09;Hovedstaden;47498;1868167;2.54
2021-02-10;Hovedstaden;48425;1868167;2.59
2021-02-11;Hovedstaden;48666;1868167;2.61
2021-02-12;Hovedstaden;52807;1868167;2.83
2021-02-13;Hovedstaden;52819;1868167;2.83
2021-02-14;Hovedstaden;52833;1868167;2.83
2021-02-15;Hovedstaden;54201;1868167;2.90
2021-02-16;Hovedstaden;54609;1868167;2.92
2021-02-17;Hovedstaden;54645;1868167;2.93
2021-02-18;Hovedstaden;54724;1868167;2.93
2021-02-19;Hovedstaden;54777;1868167;2.93
2021-02-20;Hovedstaden;54879;1868167;2.94
2021-02-21;Hovedstaden;54983;1868167;2.94
2021-02-22;Hovedstaden;55130;1868167;2.95
2021-02-23;Hovedstaden;55291;1868167;2.96
2021-02-24;Hovedstaden;55368;1868167;2.96
2021-02-25;Hovedstaden;55409;1868167;2.97
2021-02-26;Hovedstaden;55476;1868167;2.97
2021-02-27;Hovedstaden;56522;1868167;3.03
2021-02-28;Hovedstaden;57602;1868167;3.08
2021-03-01;Hovedstaden;57824;1868167;3.10
2021-03-02;Hovedstaden;58078;1868167;3.11
2021-03-03;Hovedstaden;58126;1868167;3.11
2021-03-04;Hovedstaden;58323;1868167;3.12
2021-03-05;Hovedstaden;58595;1868167;3.14
2021-03-06;Hovedstaden;58689;1868167;3.14
2021-03-07;Hovedstaden;59007;1868167;3.16
2021-03-08;Hovedstaden;59249;1868167;3.17
2021-03-09;Hovedstaden;60645;1868167;3.25
2021-03-10;Hovedstaden;62296;1868167;3.33
2021-03-11;Hovedstaden;66536;1868167;3.56
2021-03-12;Hovedstaden;71222;1868167;3.81
2021-03-13;Hovedstaden;71313;1868167;3.82
2021-03-14;Hovedstaden;74497;1868167;3.99
2021-03-15;Hovedstaden;77200;1868167;4.13
2021-03-16;Hovedstaden;80643;1868167;4.32
2021-03-17;Hovedstaden;84941;1868167;4.55
2021-03-18;Hovedstaden;89253;1868167;4.78
2021-03-19;Hovedstaden;90399;1868167;4.84
2021-03-20;Hovedstaden;90489;1868167;4.84
2021-03-21;Hovedstaden;92543;1868167;4.95
2021-03-22;Hovedstaden;92628;1868167;4.96
2021-03-23;Hovedstaden;92748;1868167;4.96
2021-03-24;Hovedstaden;101166;1868167;5.42
2021-03-25;Hovedstaden;105596;1868167;5.65
2021-03-26;Hovedstaden;108228;1868167;5.79
2021-03-27;Hovedstaden;108273;1868167;5.80
2021-03-28;Hovedstaden;108312;1868167;5.80
2021-03-29;Hovedstaden;108859;1868167;5.83
2021-03-30;Hovedstaden;109133;1868167;5.84
2021-03-31;Hovedstaden;112859;1868167;6.04
2021-04-01;Hovedstaden;117478;1868167;6.29
2021-04-02;Hovedstaden;121133;1868167;6.48
2021-04-03;Hovedstaden;121233;1868167;6.49
2021-04-04;Hovedstaden;121283;1868167;6.49
2021-04-05;Hovedstaden;121328;1868167;6.49
2021-04-06;Hovedstaden;121536;1868167;6.51
2021-04-07;Hovedstaden;122121;1868167;6.54
2021-04-08;Hovedstaden;123771;1868167;6.63
2021-04-09;Hovedstaden;127127;1868167;6.80
2021-04-10;Hovedstaden;128412;1868167;6.87
2021-04-11;Hovedstaden;128557;1868167;6.88
2021-04-12;Hovedstaden;135361;1868167;7.25
