"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;44;3;297738;0.0;0.0
0-9;M;43;3;314352;0.0;0.0
10-19;K;219524;205224;330297;66.5;62.1
10-19;M;228178;212507;346638;65.8;61.3
20-29;K;311205;296892;383011;81.3;77.5
20-29;M;317338;301274;399227;79.5;75.5
30-39;K;291021;277114;349388;83.3;79.3
30-39;M;291800;279374;363012;80.4;77.0
40-49;K;334958;329098;368474;90.9;89.3
40-49;M;326564;320194;368943;88.5;86.8
50-59;K;375642;372317;400954;93.7;92.9
50-59;M;376666;373136;404737;93.1;92.2
60-69;K;327254;325744;341808;95.7;95.3
60-69;M;317418;315918;331673;95.7;95.2
70-79;K;296625;295936;305253;97.2;96.9
70-79;M;268177;267527;275642;97.3;97.1
80-89;K;136897;136491;141222;96.9;96.6
80-89;M;101980;101734;104664;97.4;97.2
90+;K;30711;30529;32222;95.3;94.7
90+;M;13092;13038;13534;96.7;96.3
