"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;48;4;297742;0.0;0.0
0-9;M;44;3;314353;0.0;0.0
10-19;K;233082;218629;343855;67.8;63.6
10-19;M;241082;225189;359542;67.1;62.6
20-29;K;309710;295343;381516;81.2;77.4
20-29;M;316222;300192;398111;79.4;75.4
30-39;K;292365;278576;350732;83.4;79.4
30-39;M;291659;279331;362871;80.4;77.0
40-49;K;341141;335298;374657;91.1;89.5
40-49;M;333030;326680;375409;88.7;87.0
50-59;K;376253;372948;401565;93.7;92.9
50-59;M;376949;373460;405020;93.1;92.2
60-69;K;325036;323546;339590;95.7;95.3
60-69;M;316040;314552;330295;95.7;95.2
70-79;K;292620;291951;301248;97.1;96.9
70-79;M;262841;262201;270306;97.2;97.0
80-89;K;128060;127657;132385;96.7;96.4
80-89;M;93074;92829;95758;97.2;96.9
90+;K;25566;25396;27077;94.4;93.8
90+;M;10315;10268;10757;95.9;95.5
