"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;471027;460118;79218;79.6;77.7;13.4;591992
Midtjylland;1054785;1030249;198714;78.6;76.8;14.8;1341500
Syddanmark;964162;941200;175897;78.5;76.6;14.3;1228038
Hovedstaden;1416440;1379434;234656;75.8;73.8;12.6;1868167
Sjælland;658723;643052;130396;78.1;76.3;15.5;843092
