"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,90624,48875,15.4,8.3,590377
Midtjylland,194657,102499,14.6,7.7,1333566
Syddanmark,179948,100212,14.7,8.2,1224181
Hovedstaden,277927,132044,15.0,7.1,1855948
Sjælland,140219,65789,16.7,7.8,839688
