"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-04-12,Hovedstaden,K,171812,82619,166944,82482,4868,137
2021-04-12,Hovedstaden,M,106115,49425,102094,49303,4021,122
2021-04-12,Midtjylland,K,123213,64744,123098,64418,115,326
2021-04-12,Midtjylland,M,71444,37755,71364,37459,80,296
2021-04-12,Nordjylland,K,57478,30515,57084,29973,394,542
2021-04-12,Nordjylland,M,33146,18360,32829,17798,317,562
2021-04-12,Sjælland,K,85477,39770,84091,39351,1386,419
2021-04-12,Sjælland,M,54742,26019,53560,25608,1182,411
2021-04-12,Syddanmark,K,112429,61383,111064,60854,1365,529
2021-04-12,Syddanmark,M,67519,38829,66333,38320,1186,509
