"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16867,0
AstraZeneca Covid-19 vaccine,Midtjylland,33612,3
AstraZeneca Covid-19 vaccine,Syddanmark,30422,249
AstraZeneca Covid-19 vaccine,Hovedstaden,45120,12
AstraZeneca Covid-19 vaccine,Sjælland,23866,332
Moderna Covid-19 Vaccine,Nordjylland,4548,4023
Moderna Covid-19 Vaccine,Midtjylland,16501,4215
Moderna Covid-19 Vaccine,Syddanmark,14942,6020
Moderna Covid-19 Vaccine,Hovedstaden,20627,5576
Moderna Covid-19 Vaccine,Sjælland,14982,3597
Pfizer BioNTech Covid-19 vacc,Nordjylland,69209,44852
Pfizer BioNTech Covid-19 vacc,Midtjylland,144544,98281
Pfizer BioNTech Covid-19 vacc,Syddanmark,134584,93943
Pfizer BioNTech Covid-19 vacc,Hovedstaden,212180,126456
Pfizer BioNTech Covid-19 vacc,Sjælland,101371,61860
