"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,90624,48875,590377
Midtjylland,194657,102499,1333566
Syddanmark,179948,100212,1224181
Hovedstaden,277927,132044,1855948
Sjælland,140219,65789,839688
