"Vaccinedato","geo","Antal påbegyndt vacc. personer","Antal borgere","Påbegyndtvacc. (%)","Kumuleret antal påbegyndt vacc."
2020-12-27,Nationalt,6400,5843760,0.11,6400
2020-12-28,Nationalt,2023,5843760,0.14,8423
2020-12-29,Nationalt,8833,5843760,0.30,17256
2020-12-30,Nationalt,11318,5843760,0.49,28574
2020-12-31,Nationalt,6084,5843760,0.59,34658
2021-01-01,Nationalt,2310,5843760,0.63,36968
2021-01-02,Nationalt,8760,5843760,0.78,45728
2021-01-03,Nationalt,5903,5843760,0.88,51631
2021-01-04,Nationalt,2397,5843760,0.92,54028
2021-01-05,Nationalt,13359,5843760,1.15,67387
2021-01-06,Nationalt,19514,5843760,1.49,86901
2021-01-07,Nationalt,17285,5843760,1.78,104186
2021-01-08,Nationalt,8361,5843760,1.93,112547
2021-01-09,Nationalt,1897,5843760,1.96,114444
2021-01-10,Nationalt,813,5843760,1.97,115257
2021-01-11,Nationalt,657,5843760,1.98,115914
2021-01-12,Nationalt,463,5843760,1.99,116377
2021-01-13,Nationalt,12664,5843760,2.21,129041
2021-01-14,Nationalt,17806,5843760,2.51,146847
2021-01-15,Nationalt,15107,5843760,2.77,161954
2021-01-16,Nationalt,4578,5843760,2.85,166532
2021-01-17,Nationalt,2506,5843760,2.89,169038
2021-01-18,Nationalt,3840,5843760,2.96,172878
2021-01-19,Nationalt,2466,5843760,3.00,175344
2021-01-20,Nationalt,1497,5843760,3.03,176841
2021-01-21,Nationalt,1517,5843760,3.05,178358
2021-01-22,Nationalt,661,5843760,3.06,179019
2021-01-23,Nationalt,752,5843760,3.08,179771
2021-01-24,Nationalt,601,5843760,3.09,180372
2021-01-25,Nationalt,277,5843760,3.09,180649
2021-01-26,Nationalt,216,5843760,3.10,180865
2021-01-27,Nationalt,206,5843760,3.10,181071
2021-01-28,Nationalt,229,5843760,3.10,181300
2021-01-29,Nationalt,1117,5843760,3.12,182417
2021-01-30,Nationalt,1196,5843760,3.14,183613
2021-01-31,Nationalt,1221,5843760,3.16,184834
2021-02-01,Nationalt,750,5843760,3.18,185584
2021-02-02,Nationalt,2032,5843760,3.21,187616
2021-02-03,Nationalt,1545,5843760,3.24,189161
2021-02-04,Nationalt,1426,5843760,3.26,190587
2021-02-05,Nationalt,1589,5843760,3.29,192176
2021-02-06,Nationalt,1027,5843760,3.31,193203
2021-02-07,Nationalt,1903,5843760,3.34,195106
2021-02-08,Nationalt,2542,5843760,3.38,197648
2021-02-09,Nationalt,3552,5843760,3.44,201200
2021-02-10,Nationalt,3283,5843760,3.50,204483
2021-02-11,Nationalt,5671,5843760,3.60,210154
2021-02-12,Nationalt,12043,5843760,3.80,222197
2021-02-13,Nationalt,6551,5843760,3.91,228748
2021-02-14,Nationalt,6228,5843760,4.02,234976
2021-02-15,Nationalt,13852,5843760,4.26,248828
2021-02-16,Nationalt,13245,5843760,4.48,262073
2021-02-17,Nationalt,10473,5843760,4.66,272546
2021-02-18,Nationalt,11474,5843760,4.86,284020
2021-02-19,Nationalt,13909,5843760,5.10,297929
2021-02-20,Nationalt,10513,5843760,5.28,308442
2021-02-21,Nationalt,10818,5843760,5.46,319260
2021-02-22,Nationalt,13523,5843760,5.69,332783
2021-02-23,Nationalt,14414,5843760,5.94,347197
2021-02-24,Nationalt,13711,5843760,6.18,360908
2021-02-25,Nationalt,14474,5843760,6.42,375382
2021-02-26,Nationalt,36008,5843760,7.04,411390
2021-02-27,Nationalt,6680,5843760,7.15,418070
2021-02-28,Nationalt,11001,5843760,7.34,429071
2021-03-01,Nationalt,19788,5843760,7.68,448859
2021-03-02,Nationalt,16709,5843760,7.97,465568
2021-03-03,Nationalt,13006,5843760,8.19,478574
2021-03-04,Nationalt,17427,5843760,8.49,496001
2021-03-05,Nationalt,16656,5843760,8.77,512657
2021-03-06,Nationalt,14640,5843760,9.02,527297
2021-03-07,Nationalt,12071,5843760,9.23,539368
2021-03-08,Nationalt,9628,5843760,9.39,548996
2021-03-09,Nationalt,10930,5843760,9.58,559926
2021-03-10,Nationalt,12082,5843760,9.79,572008
2021-03-11,Nationalt,4596,5843760,9.87,576604
2021-03-12,Nationalt,3377,5843760,9.92,579981
2021-03-13,Nationalt,4540,5843760,10.0,584521
2021-03-14,Nationalt,1234,5843760,10.0,585755
2021-03-15,Nationalt,2835,5843760,10.1,588590
2021-03-16,Nationalt,6819,5843760,10.2,595409
2021-03-17,Nationalt,10738,5843760,10.4,606147
2021-03-18,Nationalt,14686,5843760,10.6,620833
2021-03-19,Nationalt,7839,5843760,10.8,628672
2021-03-20,Nationalt,2943,5843760,10.8,631615
2021-03-21,Nationalt,4926,5843760,10.9,636541
2021-03-22,Nationalt,4112,5843760,11.0,640653
