"Vaccinedato","geo","Antal færdigvacc. personer","Antal borgere","Færdigvacc. (%)","Kumuleret antal færdigvacc."
2021-01-15,Nationalt,5,5843760,0.00,5
2021-01-16,Nationalt,7,5843760,0.00,12
2021-01-17,Nationalt,701,5843760,0.01,713
2021-01-18,Nationalt,2111,5843760,0.05,2824
2021-01-19,Nationalt,2074,5843760,0.08,4898
2021-01-20,Nationalt,1878,5843760,0.12,6776
2021-01-21,Nationalt,2338,5843760,0.16,9114
2021-01-22,Nationalt,5642,5843760,0.25,14756
2021-01-23,Nationalt,7138,5843760,0.37,21894
2021-01-24,Nationalt,6533,5843760,0.49,28427
2021-01-25,Nationalt,2491,5843760,0.53,30918
2021-01-26,Nationalt,1735,5843760,0.56,32653
2021-01-27,Nationalt,4365,5843760,0.63,37018
2021-01-28,Nationalt,8109,5843760,0.77,45127
2021-01-29,Nationalt,18263,5843760,1.08,63390
2021-01-30,Nationalt,12911,5843760,1.31,76301
2021-01-31,Nationalt,12281,5843760,1.52,88582
2021-02-01,Nationalt,7888,5843760,1.65,96470
2021-02-02,Nationalt,3024,5843760,1.70,99494
2021-02-03,Nationalt,6180,5843760,1.81,105674
2021-02-04,Nationalt,10899,5843760,1.99,116573
2021-02-05,Nationalt,13433,5843760,2.22,130006
2021-02-06,Nationalt,6766,5843760,2.34,136772
2021-02-07,Nationalt,3638,5843760,2.40,140410
2021-02-08,Nationalt,7035,5843760,2.52,147445
2021-02-09,Nationalt,4905,5843760,2.61,152350
2021-02-10,Nationalt,3911,5843760,2.67,156261
2021-02-11,Nationalt,2454,5843760,2.72,158715
2021-02-12,Nationalt,7626,5843760,2.85,166341
2021-02-13,Nationalt,971,5843760,2.86,167312
2021-02-14,Nationalt,627,5843760,2.87,167939
2021-02-15,Nationalt,3136,5843760,2.93,171075
2021-02-16,Nationalt,1337,5843760,2.95,172412
2021-02-17,Nationalt,431,5843760,2.96,172843
2021-02-18,Nationalt,308,5843760,2.96,173151
2021-02-19,Nationalt,969,5843760,2.98,174120
2021-02-20,Nationalt,575,5843760,2.99,174695
2021-02-21,Nationalt,354,5843760,3.00,175049
2021-02-22,Nationalt,1101,5843760,3.01,176150
2021-02-23,Nationalt,1956,5843760,3.05,178106
2021-02-24,Nationalt,1969,5843760,3.08,180075
2021-02-25,Nationalt,641,5843760,3.09,180716
2021-02-26,Nationalt,1003,5843760,3.11,181719
2021-02-27,Nationalt,1482,5843760,3.13,183201
2021-02-28,Nationalt,1425,5843760,3.16,184626
2021-03-01,Nationalt,1050,5843760,3.18,185676
2021-03-02,Nationalt,1305,5843760,3.20,186981
2021-03-03,Nationalt,1031,5843760,3.22,188012
2021-03-04,Nationalt,1817,5843760,3.25,189829
2021-03-05,Nationalt,5688,5843760,3.35,195517
2021-03-06,Nationalt,4012,5843760,3.41,199529
2021-03-07,Nationalt,4357,5843760,3.49,203886
2021-03-08,Nationalt,6483,5843760,3.60,210369
2021-03-09,Nationalt,7260,5843760,3.72,217629
2021-03-10,Nationalt,7305,5843760,3.85,224934
2021-03-11,Nationalt,8074,5843760,3.99,233008
2021-03-12,Nationalt,10687,5843760,4.17,243695
2021-03-13,Nationalt,5978,5843760,4.27,249673
2021-03-14,Nationalt,9439,5843760,4.43,259112
2021-03-15,Nationalt,9965,5843760,4.60,269077
2021-03-16,Nationalt,9525,5843760,4.77,278602
2021-03-17,Nationalt,9256,5843760,4.93,287858
2021-03-18,Nationalt,7256,5843760,5.05,295114
2021-03-19,Nationalt,11832,5843760,5.25,306946
2021-03-20,Nationalt,4877,5843760,5.34,311823
2021-03-21,Nationalt,4693,5843760,5.42,316516
2021-03-22,Nationalt,7844,5843760,5.55,324360
2021-03-23,Nationalt,7651,5843760,5.68,332011
2021-03-24,Nationalt,13547,5843760,5.91,345558
2021-03-25,Nationalt,8496,5843760,6.06,354054
2021-03-26,Nationalt,7921,5843760,6.19,361975
2021-03-27,Nationalt,3142,5843760,6.25,365117
2021-03-28,Nationalt,2818,5843760,6.30,367935
2021-03-29,Nationalt,6223,5843760,6.40,374158
2021-03-30,Nationalt,6103,5843760,6.51,380261
2021-03-31,Nationalt,9890,5843760,6.68,390151
2021-04-01,Nationalt,6988,5843760,6.80,397139
2021-04-02,Nationalt,7056,5843760,6.92,404195
2021-04-03,Nationalt,2191,5843760,6.95,406386
2021-04-04,Nationalt,1786,5843760,6.98,408172
2021-04-05,Nationalt,1300,5843760,7.01,409472
2021-04-06,Nationalt,6166,5843760,7.11,415638
2021-04-07,Nationalt,8314,5843760,7.25,423952
2021-04-08,Nationalt,8458,5843760,7.40,432410
2021-04-09,Nationalt,8254,5843760,7.54,440664
2021-04-10,Nationalt,5104,5843760,7.63,445768
2021-04-11,Nationalt,3651,5843760,7.69,449419
