Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  44.205 (49);  46.864 (51);  91.069
10-19;  72.227 (50);  71.190 (50); 143.417
20-29;  81.134 (50);  80.693 (50); 161.827
30-39;  62.466 (51);  59.409 (49); 121.875
40-49;  64.343 (52);  59.567 (48); 123.910
50-59;  51.526 (50);  52.205 (50); 103.731
60-69;  26.747 (49);  28.136 (51);  54.883
70-79;  15.444 (50);  15.522 (50);  30.966
80-89;   6.505 (55);   5.301 (45);  11.806
90+;   1.996 (68);     918 (32);   2.914
I alt; 426.593 (50); 419.805 (50); 846.398
