"Kommunenavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
København,48449,19692,638705
Frederiksberg,9740,4482,103418
Ballerup,4979,1900,49110
Brøndby,3646,1481,35391
Dragør,1489,723,14566
Gentofte,7638,3609,74406
Gladsaxe,7300,3124,69197
Glostrup,2862,1443,23455
Herlev,3354,1458,28825
Albertslund,2667,1389,27246
Hvidovre,5819,2728,53319
Høje-Taastrup,5031,2578,52131
Lyngby-Taarbæk,6056,2774,56832
Rødovre,4387,1706,41185
Ishøj,1961,974,23063
Tårnby,4273,1829,42701
Vallensbæk,1726,799,16567
Furesø,4624,2033,40951
Allerød,2917,1145,25848
Fredensborg,4519,2045,41025
Helsingør,7264,3110,63024
Hillerød,6406,2852,51728
Hørsholm,3064,1363,24840
Rudersdal,6531,2748,56947
Egedal,4049,1573,43717
Frederikssund,5194,2267,45552
Greve,4674,2146,50543
Køge,5834,3008,61526
Frederiksværk-Hundested,3871,1399,31426
Roskilde,9254,4702,88781
Solrød,2140,1068,23466
Gribskov,4993,2056,40974
Odsherred,3682,1734,32898
Holbæk,7434,3650,71965
Faxe,3520,1705,36758
Kalundborg,4621,2163,48430
Ringsted,3051,1520,34924
Slagelse,8266,3899,79213
Stevns,2395,1092,23175
Sorø,3165,1414,29978
Lejre,2906,1395,28288
Lolland,4179,2281,40419
Næstved,8508,4435,83263
Guldborgsund,6992,3556,60327
Vordingborg,4622,2193,45202
Bornholm,4755,1889,39724
Middelfart,4806,1881,39254
Assens,4247,1481,40856
Faaborg-Midtfyn,5470,1985,51641
Kerteminde,2554,957,23815
Nyborg,3482,1143,31959
Odense,21238,8162,205102
Svendborg,7379,3437,58748
Nordfyns,3094,1020,29545
Langeland,1614,617,12363
Ærø,906,307,5984
Haderslev,5348,2029,55315
Billund,2470,1042,26517
Sønderborg,7555,2607,73799
Tønder,3618,1500,37026
Esbjerg,13233,5599,115526
Fanø,401,160,3449
Varde,5593,2310,49637
Vejen,4639,2117,42780
Aabenraa,5228,1818,58574
Fredericia,5665,2332,51386
Horsens,8316,3656,92551
Kolding,9010,3803,93107
Vejle,11696,4830,117478
Herning,8997,4296,89264
Holstebro,6368,2756,58693
Lemvig,2074,998,19570
Struer,2318,1001,20815
Syddjurs,4497,2036,43257
Norddjurs,4099,2123,36966
Favrskov,4550,1968,48469
Odder,2539,1288,22997
Randers,10085,4394,98313
Silkeborg,9169,4247,95881
Samsø,633,449,3681
Skanderborg,5578,2319,63446
Århus,31971,12841,352418
Ikast-Brande,3617,1729,41531
Ringkøbing-Skjern,5601,2829,56143
Hedensted,4275,2182,46828
Morsø,2695,1612,20064
Skive,4885,2527,45429
Thisted,4456,2331,43117
Viborg,10288,5008,96654
Brønderslev-Dronninglund,3914,1987,36116
Frederikshavn,6170,2497,58971
Vesthimmerlands,3943,1531,36345
Læsø,286,118,1773
Rebild,2921,1452,30489
Mariagerfjord,4391,2177,41590
Jammerbugt,3832,1869,38144
Ålborg,22197,10617,219710
Hjørring,7435,3681,64116
