"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,62240,29872,10.5,5.1,590435
Midtjylland,129860,58647,9.7,4.4,1332906
Syddanmark,129246,51137,10.6,4.2,1223861
Hovedstaden,179564,77169,9.7,4.2,1855873
Sjælland,85243,41961,10.2,5.0,839156
