Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 136.075 (49); 143.856 (51); 279.931
10-19; 207.234 (50); 207.499 (50); 414.733
20-29; 172.599 (52); 158.147 (48); 330.746
30-39; 172.691 (53); 150.320 (47); 323.011
40-49; 166.724 (53); 146.438 (47); 313.162
50-59; 116.517 (51); 110.735 (49); 227.252
60-69;  60.784 (51);  59.013 (49); 119.797
70-79;  30.244 (50);  30.800 (50);  61.044
80-89;  11.607 (55);   9.662 (45);  21.269
90+;   3.836 (69);   1.709 (31);   5.545
I alt;1.078.327 (51);1.018.202 (49);2.096.530
