uge;år;Klassifikation;Antal nyindlæggelser;Andel nyindlæggelser
8;2021;Luftvejs- eller obsdiagnose;6;0,0317
8;2021;Anden diagnose;24;0,1270
9;2021;Covid-19 diagnose;177;0,8939
9;2021;Luftvejs- eller obsdiagnose;4;0,0202
9;2021;Anden diagnose;17;0,0859
10;2021;Covid-19 diagnose;154;0,8370
10;2021;Luftvejs- eller obsdiagnose;6;0,0326
10;2021;Anden diagnose;24;0,1304
11;2021;Covid-19 diagnose;138;0,7753
11;2021;Luftvejs- eller obsdiagnose;12;0,0674
11;2021;Anden diagnose;28;0,1573
12;2021;Covid-19 diagnose;196;0,8235
12;2021;Luftvejs- eller obsdiagnose;11;0,0462
12;2021;Anden diagnose;31;0,1303
13;2021;Covid-19 diagnose;210;0,8537
13;2021;Luftvejs- eller obsdiagnose;5;0,0203
13;2021;Anden diagnose;31;0,1260
14;2021;Covid-19 diagnose;183;0,8756
14;2021;Luftvejs- eller obsdiagnose;3;0,0144
14;2021;Anden diagnose;23;0,1100
15;2021;Covid-19 diagnose;186;0,8493
15;2021;Luftvejs- eller obsdiagnose;6;0,0274
15;2021;Anden diagnose;27;0,1233
16;2021;Covid-19 diagnose;166;0,7867
16;2021;Luftvejs- eller obsdiagnose;9;0,0427
16;2021;Anden diagnose;36;0,1706
17;2021;Covid-19 diagnose;178;0,8517
17;2021;Luftvejs- eller obsdiagnose;4;0,0191
17;2021;Anden diagnose;27;0,1292
18;2021;Covid-19 diagnose;168;0,8358
18;2021;Luftvejs- eller obsdiagnose;7;0,0348
18;2021;Anden diagnose;26;0,1294
19;2021;Covid-19 diagnose;209;0,8360
19;2021;Luftvejs- eller obsdiagnose;10;0,0400
19;2021;Anden diagnose;31;0,1240
20;2021;Covid-19 diagnose;156;0,7959
20;2021;Luftvejs- eller obsdiagnose;6;0,0306
20;2021;Anden diagnose;34;0,1735
21;2021;Covid-19 diagnose;154;0,7857
21;2021;Luftvejs- eller obsdiagnose;7;0,0357
21;2021;Anden diagnose;35;0,1786
22;2021;Covid-19 diagnose;131;0,8137
22;2021;Luftvejs- eller obsdiagnose;1;0,0062
22;2021;Anden diagnose;29;0,1801
23;2021;Covid-19 diagnose;83;0,6748
23;2021;Luftvejs- eller obsdiagnose;5;0,0407
23;2021;Anden diagnose;35;0,2846
24;2021;Covid-19 diagnose;54;0,7200
24;2021;Luftvejs- eller obsdiagnose;2;0,0267
24;2021;Anden diagnose;19;0,2533
25;2021;Covid-19 diagnose;39;0,8667
25;2021;Luftvejs- eller obsdiagnose;1;0,0222
25;2021;Anden diagnose;5;0,1111
26;2021;Covid-19 diagnose;28;0,7368
26;2021;Luftvejs- eller obsdiagnose;2;0,0526
26;2021;Anden diagnose;8;0,2105
27;2021;Covid-19 diagnose;44;0,7333
27;2021;Luftvejs- eller obsdiagnose;1;0,0167
27;2021;Anden diagnose;15;0,2500
28;2021;Covid-19 diagnose;79;0,7822
28;2021;Luftvejs- eller obsdiagnose;5;0,0495
28;2021;Anden diagnose;17;0,1683
29;2021;Covid-19 diagnose;76;0,7917
29;2021;Luftvejs- eller obsdiagnose;5;0,0521
29;2021;Anden diagnose;15;0,1562
30;2021;Covid-19 diagnose;84;0,7636
30;2021;Luftvejs- eller obsdiagnose;3;0,0273
30;2021;Anden diagnose;23;0,2091
31;2021;Covid-19 diagnose;98;0,8033
31;2021;Luftvejs- eller obsdiagnose;6;0,0492
31;2021;Anden diagnose;18;0,1475
32;2021;Covid-19 diagnose;143;0,7772
32;2021;Luftvejs- eller obsdiagnose;10;0,0543
32;2021;Anden diagnose;31;0,1685
33;2021;Covid-19 diagnose;178;0,8054
33;2021;Luftvejs- eller obsdiagnose;7;0,0317
33;2021;Anden diagnose;36;0,1629
34;2021;Covid-19 diagnose;157;0,7889
