"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-05-07,Hovedstaden,K,263354,147324,258677,135061,4677,12263
2021-05-07,Hovedstaden,M,188460,99131,183580,89431,4880,9700
2021-05-07,Midtjylland,K,192206,107863,185748,98909,6458,8954
2021-05-07,Midtjylland,M,134115,75697,128047,68214,6068,7483
2021-05-07,Nordjylland,K,90646,48257,86788,47103,3858,1154
2021-05-07,Nordjylland,M,64135,34465,60189,33616,3946,849
2021-05-07,Sjælland,K,126211,73310,122872,70516,3339,2794
2021-05-07,Sjælland,M,90691,56635,87633,54397,3058,2238
2021-05-07,Syddanmark,K,182191,88849,176222,83789,5969,5060
2021-05-07,Syddanmark,M,131289,63226,125361,59148,5928,4078
