"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16868,3
AstraZeneca Covid-19 vaccine,Midtjylland,33659,11
AstraZeneca Covid-19 vaccine,Syddanmark,30433,253
AstraZeneca Covid-19 vaccine,Hovedstaden,45187,191
AstraZeneca Covid-19 vaccine,Sjælland,23870,334
Moderna Covid-19 Vaccine,Nordjylland,10773,4452
Moderna Covid-19 Vaccine,Midtjylland,22377,14205
Moderna Covid-19 Vaccine,Syddanmark,20646,15191
Moderna Covid-19 Vaccine,Hovedstaden,32766,20179
Moderna Covid-19 Vaccine,Sjælland,21157,9562
Pfizer BioNTech Covid-19 vacc,Nordjylland,127140,78267
Pfizer BioNTech Covid-19 vacc,Midtjylland,270285,169344
Pfizer BioNTech Covid-19 vacc,Syddanmark,262401,136631
Pfizer BioNTech Covid-19 vacc,Hovedstaden,373861,226085
Pfizer BioNTech Covid-19 vacc,Sjælland,171875,120049
