"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,154781,82722,590267
Midtjylland,326321,183560,1334106
Syddanmark,313480,152075,1224527
Hovedstaden,451814,246455,1856566
Sjælland,216902,129945,840340
