"Kommunenavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
København,108608,55583,17.0,8.7,638671
Frederiksberg,24816,13809,24.1,13.4,103185
Ballerup,13341,7349,27.2,15.0,49057
Brøndby,9354,5631,26.4,15.9,35395
Dragør,4582,2597,31.4,17.8,14594
Gentofte,20751,11424,27.9,15.4,74257
Gladsaxe,17000,8891,24.7,12.9,68953
Glostrup,6233,3703,26.5,15.8,23495
Herlev,7870,4208,27.3,14.6,28791
Albertslund,6866,4108,25.3,15.1,27180
Hvidovre,13556,7933,25.4,14.9,53270
Høje Tåstrup,12770,7954,24.4,15.2,52272
Lyngby-Taarbæk,15187,8274,26.6,14.5,57075
Rødovre,10494,5564,25.5,13.5,41189
Ishøj,5346,3189,23.2,13.8,23069
Tårnby,11399,6180,26.7,14.5,42708
Vallensbæk,4343,2817,26.2,17.0,16564
Furesø,11937,6517,29.1,15.9,41074
Allerød,7409,4054,28.6,15.6,25915
Fredensborg,12686,6876,30.9,16.8,41021
Helsingør,20418,11219,32.4,17.8,63112
Hillerød,14892,8157,28.7,15.7,51836
Hørsholm,8605,5032,34.6,20.2,24854
Rudersdal,16786,9592,29.4,16.8,57051
Egedal,11528,6265,26.2,14.3,43935
Frederikssund,14620,8552,32.0,18.7,45703
Greve,12619,7325,24.9,14.5,50628
Køge,14487,8393,23.5,13.6,61538
Halsnæs,11283,5904,35.8,18.8,31484
Roskilde,21552,12780,24.3,14.4,88774
Solrød,5529,3217,23.5,13.7,23498
Gribskov,14692,7259,35.8,17.7,41093
Odsherred,10614,6216,32.2,18.9,32914
Holbæk,18484,10822,25.6,15.0,72215
Faxe,8905,5369,24.2,14.6,36843
Kalundborg,12493,7746,25.8,16.0,48408
Ringsted,7248,4415,20.7,12.6,35032
Slagelse,20967,12402,26.4,15.6,79417
Stevns,6166,3685,26.5,15.8,23256
Sorø,7683,4716,25.7,15.8,29928
Lejre,7554,4425,26.5,15.5,28466
Lolland,11425,7064,28.3,17.5,40344
Næstved,20767,12667,24.9,15.2,83417
Guldborgsund,17757,10735,29.4,17.8,60405
Vordingborg,12652,7968,28.0,17.6,45257
Bornholm,14442,7814,36.3,19.7,39763
Middelfart,11102,5448,28.2,13.8,39344
Assens,11586,5114,28.3,12.5,40872
Faaborg-Midtfyn,14588,6497,28.2,12.6,51701
Kerteminde,7031,3380,29.5,14.2,23863
Nyborg,8919,4283,27.8,13.4,32028
Odense,48930,24350,23.9,11.9,204926
Svendborg,17153,8156,29.2,13.9,58822
Nordfyn,8287,3805,28.1,12.9,29539
Langeland,4168,1805,33.8,14.6,12344
Ærø,2048,1004,34.1,16.7,6007
Haderslev,13559,5485,24.5,9.9,55361
Billund,6391,3367,24.1,12.7,26526
Sønderborg,19034,8844,25.8,12.0,73779
Tønder,9218,3818,24.9,10.3,37004
Esbjerg,29848,17264,25.8,14.9,115595
Fanø,1266,704,36.8,20.4,3443
Varde,13342,7730,26.8,15.5,49722
Vejen,10102,5576,23.6,13.0,42814
Aabenraa,14727,5298,25.1,9.0,58580
Fredericia,13032,6505,25.3,12.6,51426
Horsens,21210,11378,22.9,12.3,92783
Kolding,21282,10211,22.9,11.0,93082
Vejle,27867,13431,23.7,11.4,117749
Herning,22614,13333,25.3,14.9,89358
Holstebro,15507,9017,26.4,15.4,58677
Lemvig,5955,3467,30.5,17.8,19512
Struer,6337,3776,30.4,18.1,20829
Syddjurs,12567,6663,28.9,15.3,43416
Norddjurs,11236,6021,30.4,16.3,36980
Favrskov,11811,6258,24.3,12.9,48540
Odder,6371,3708,27.6,16.1,23046
Randers,25101,13310,25.5,13.5,98421
Silkeborg,23832,13336,24.8,13.9,96080
Samsø,1470,677,39.6,18.2,3711
Skanderborg,14585,8235,22.9,12.9,63606
Århus,70569,40351,20.0,11.5,352294
Ikast-Brande,10311,6242,24.8,15.0,41621
Ringkøbing-Skjern,15365,8828,27.3,15.7,56223
Hedensted,11891,6375,25.3,13.6,46956
Morsø,5869,3480,29.2,17.3,20081
Skive,13317,8154,29.4,18.0,45350
Thisted,11767,6413,27.3,14.9,43147
Viborg,26272,14431,27.2,14.9,96703
Brønderslev,9184,5009,25.5,13.9,36074
Frederikshavn,18168,9828,30.8,16.7,58947
Vesthimmerland,10747,6160,29.5,16.9,36373
Læsø,1091,536,61.3,30.1,1779
Rebild,7467,3851,24.5,12.6,30509
Mariagerfjord,11661,6410,28.0,15.4,41580
Jammerbugt,9922,4988,26.0,13.1,38182
Aalborg,51002,26375,23.2,12.0,219514
Hjørring,17903,9672,27.9,15.1,64081
