Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.558.179; 123.677;   7.220;   1.329
Sjælland; 650.873;  35.325;   2.490;     403
Syddanmark; 972.142;  37.222;   1.738;     219
Midtjylland;1.061.128;  45.438;   2.142;     353
Nordjylland; 496.283;  17.799;     921;     183
