Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     186 (51);     176 (49);     362
10-19;     352 (55);     291 (45);     643
20-29;   1.113 (62);     694 (38);   1.807
30-39;   1.120 (60);     741 (40);   1.861
40-49;   1.324 (60);     890 (40);   2.214
50-59;   1.363 (60);     926 (40);   2.289
60-69;     726 (50);     730 (50);   1.456
70-79;     497 (46);     589 (54);   1.086
80-89;     480 (57);     357 (43);     837
90+;     187 (72);      73 (28);     260
I alt;   7.348 (57);   5.467 (43);  12.815
