Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.215.571;  47.451;   2.794;     499
Sjælland; 469.206;  11.839;     937;     150
Syddanmark; 679.326;  12.591;     630;      65
Midtjylland; 777.604;  18.063;     893;     125
Nordjylland; 405.708;   6.355;     355;      65
I alt i Danmark;3.547.415;  96.299;   5.609;     904
