Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   2.643 (49);   2.776 (51);   5.419
10-19;   7.919 (48);   8.545 (52);  16.464
20-29;   9.464 (50);   9.410 (50);  18.874
30-39;   6.645 (50);   6.547 (50);  13.192
40-49;   7.679 (52);   7.030 (48);  14.709
50-59;   7.158 (51);   6.954 (49);  14.112
60-69;   3.484 (48);   3.838 (52);   7.322
70-79;   2.199 (49);   2.311 (51);   4.510
80-89;   1.198 (56);     937 (44);   2.135
90+;     435 (70);     185 (30);     620
I alt;  48.824 (50);  48.533 (50);  97.357
