"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;461262;453599;9100;78.0;76.7;1.5;591674
Midtjylland;1030768;1013809;23271;76.9;75.7;1.7;1339866
Syddanmark;941217;926383;19070;76.7;75.5;1.6;1226711
Hovedstaden;1382513;1352622;26100;74.2;72.6;1.4;1864363
Sjælland;642906;633682;12931;76.3;75.2;1.5;842508
