"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;468144;455200;6624;72.8;70.8;1.0;643049
Frederiksberg;80585;78851;1649;77.8;76.2;1.6;103514
Ballerup;36011;35345;743;73.3;72.0;1.5;49098
Brøndby;23797;23207;532;67.1;65.4;1.5;35473
Dragør;11211;11030;264;76.8;75.6;1.8;14597
Gentofte;56935;55928;1391;76.7;75.3;1.9;74273
Gladsaxe;50729;49676;996;73.4;71.9;1.4;69077
Glostrup;16969;16633;367;72.1;70.7;1.6;23525
Herlev;20850;20404;502;72.4;70.8;1.7;28807
Albertslund;18719;18159;344;68.4;66.4;1.3;27358
Hvidovre;38089;37297;765;71.6;70.1;1.4;53215
Høje Tåstrup;35918;35122;638;68.2;66.7;1.2;52648
Lyngby-Taarbæk;44360;43616;1038;76.9;75.6;1.8;57690
Rødovre;29358;28723;565;71.2;69.7;1.4;41215
Ishøj;14695;14229;227;63.6;61.6;1.0;23093
Tårnby;31412;30781;616;73.7;72.3;1.4;42602
Vallensbæk;11464;11217;194;69.5;68.0;1.2;16498
Furesø;31140;30652;762;75.3;74.1;1.8;41343
Allerød;20241;20002;433;78.2;77.3;1.7;25886
Fredensborg;30888;30323;638;75.2;73.8;1.6;41061
Helsingør;48145;47257;989;76.4;75.0;1.6;63039
Hillerød;40334;39779;802;76.4;75.3;1.5;52793
Hørsholm;19675;19430;545;79.5;78.5;2.2;24748
Rudersdal;44607;43921;1188;77.8;76.6;2.1;57346
Egedal;33919;33402;620;76.8;75.6;1.4;44177
Frederikssund;35997;35438;704;78.5;77.3;1.5;45841
Greve;37395;36766;717;73.7;72.5;1.4;50710
Køge;46654;45907;959;75.6;74.4;1.6;61700
Halsnæs;24403;24030;486;77.6;76.4;1.5;31456
Roskilde;69125;68140;1482;77.4;76.3;1.7;89264
Solrød;17769;17532;334;75.3;74.3;1.4;23586
Gribskov;32085;31624;743;77.8;76.7;1.8;41251
Odsherred;26048;25730;617;79.1;78.1;1.9;32941
Holbæk;55995;55137;1014;77.1;75.9;1.4;72654
Faxe;28078;27722;562;75.8;74.8;1.5;37062
Kalundborg;37016;36503;711;76.5;75.4;1.5;48399
Ringsted;25818;25475;442;73.5;72.5;1.3;35140
Slagelse;59908;58963;1186;75.2;74.0;1.5;79627
Stevns;18029;17820;316;77.2;76.3;1.4;23368
Sorø;23168;22886;422;77.2;76.3;1.4;29991
Lejre;21886;21599;438;76.5;75.5;1.5;28597
Lolland;30674;30250;652;76.3;75.2;1.6;40204
Næstved;63799;62871;1364;76.3;75.2;1.6;83658
Guldborgsund;46505;45828;982;77.1;76.0;1.6;60300
Vordingborg;35039;34553;733;77.3;76.3;1.6;45307
Bornholm;31833;31346;735;80.2;79.0;1.9;39690
Middelfart;31145;30739;708;78.9;77.8;1.8;39485
Assens;32347;31853;666;79.2;77.9;1.6;40864
Faaborg-Midtfyn;40607;40085;826;78.4;77.4;1.6;51793
Kerteminde;19015;18762;424;79.3;78.3;1.8;23966
Nyborg;25442;25068;461;79.2;78.1;1.4;32107
Odense;159042;156171;2961;77.2;75.8;1.4;206021
Svendborg;46473;45765;1290;78.7;77.5;2.2;59088
Nordfyn;22988;22660;467;77.5;76.4;1.6;29658
Langeland;9968;9865;256;80.9;80.1;2.1;12314
Ærø;5009;4954;135;83.3;82.4;2.2;6013
Haderslev;41873;41209;736;75.7;74.5;1.3;55307
Billund;20285;20037;412;76.4;75.4;1.6;26566
Sønderborg;57033;56218;1003;77.5;76.4;1.4;73624
Tønder;27796;27360;522;75.4;74.2;1.4;36878
Esbjerg;88119;86687;1765;76.3;75.1;1.5;115453
Fanø;2789;2748;67;81.4;80.2;2.0;3427
Varde;37870;37367;799;76.3;75.3;1.6;49636
Vejen;31752;31284;585;74.3;73.2;1.4;42709
Aabenraa;43567;42942;774;74.4;73.3;1.3;58561
Fredericia;39336;38742;880;76.4;75.2;1.7;51519
Horsens;69653;68481;1375;74.2;72.9;1.5;93931
Kolding;69889;68631;1444;74.9;73.5;1.5;93370
Vejle;88872;87236;1889;75.1;73.7;1.6;118352
Herning;68295;67107;1825;76.6;75.2;2.0;89199
Holstebro;45186;44440;1159;77.2;75.9;2.0;58524
Lemvig;15448;15254;455;79.8;78.8;2.3;19363
Struer;16483;16225;440;79.3;78.1;2.1;20773
Syddjurs;34300;33829;713;78.7;77.6;1.6;43601
Norddjurs;29178;28805;661;78.8;77.8;1.8;37040
Favrskov;37498;37003;784;76.9;75.9;1.6;48734
Odder;18448;18245;491;79.5;78.6;2.1;23216
Randers;75835;74645;2163;76.8;75.6;2.2;98714
Silkeborg;73680;72476;1458;76.1;74.8;1.5;96874
Samsø;3058;3031;59;82.1;81.4;1.6;3724
Skanderborg;48742;48125;785;76.1;75.2;1.2;64016
Århus;273577;267901;5584;77.0;75.4;1.6;355190
Ikast-Brande;31278;30808;759;74.8;73.6;1.8;41843
Ringkøbing-Skjern;43129;42475;1062;76.8;75.6;1.9;56184
Hedensted;36195;35769;794;77.0;76.1;1.7;47033
Morsø;15848;15609;396;79.0;77.8;2.0;20058
Skive;35792;35263;1031;79.4;78.2;2.3;45083
Thisted;33601;33092;780;77.9;76.7;1.8;43122
Viborg;74993;73927;1673;77.5;76.4;1.7;96824
Brønderslev;27853;27411;597;76.9;75.7;1.6;36209
Frederikshavn;46707;46069;856;79.3;78.3;1.5;58872
Vesthimmerland;27836;27475;566;76.6;75.6;1.6;36353
Læsø;1470;1454;34;82.1;81.2;1.9;1791
Rebild;23192;22857;422;75.7;74.6;1.4;30638
Mariagerfjord;32577;32129;629;78.4;77.4;1.5;41531
Jammerbugt;29627;29132;503;77.7;76.4;1.3;38139
Aalborg;172236;168810;3425;77.9;76.3;1.5;221108
Hjørring;50315;49561;892;78.8;77.6;1.4;63853
