"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;17;4;297161;0.0;0.0
0-9;M;15;3;313564;0.0;0.0
10-19;K;205529;197067;330580;62.2;59.6
10-19;M;213312;203527;346886;61.5;58.7
20-29;K;296665;286189;381774;77.7;75.0
20-29;M;303853;291492;397850;76.4;73.3
30-39;K;275629;264728;348091;79.2;76.1
30-39;M;279015;270554;360984;77.3;74.9
40-49;K;330677;326320;369480;89.5;88.3
40-49;M;322097;317773;369990;87.1;85.9
50-59;K;372651;370091;400663;93.0;92.4
50-59;M;373435;370928;404438;92.3;91.7
60-69;K;325583;324394;341263;95.4;95.1
60-69;M;315755;314620;331215;95.3;95.0
70-79;K;295802;295221;304934;97.0;96.8
70-79;M;267359;266848;275411;97.1;96.9
80-89;K;136062;135646;140677;96.7;96.4
80-89;M;101341;101106;104205;97.3;97.0
90+;K;30786;30570;32399;95.0;94.4
90+;M;13083;13014;13557;96.5;96.0
