"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90610;0.0;0.0
0-2;M;1;0;95640;0.0;0.0
3-5;K;1598;1;91042;1.8;0.0
3-5;M;1661;3;96205;1.7;0.0
6-11;K;37794;7;179493;21.1;0.0
6-11;M;40175;13;188768;21.3;0.0
12-15;K;102540;94165;132531;77.4;71.1
12-15;M;108212;99294;139984;77.3;70.9
16-19;K;119943;116559;134311;89.3;86.8
16-19;M;123369;119143;140443;87.8;84.8
20-39;K;611063;585597;732809;83.4;79.9
20-39;M;617135;591018;762863;80.9;77.5
40-64;K;881583;872703;946290;93.2;92.2
40-64;M;871728;861964;947767;92.0;90.9
65-79;K;455923;454668;470331;96.9;96.7
65-79;M;420297;419166;433225;97.0;96.8
80+;K;167786;167204;173458;96.7;96.4
80+;M;115233;114930;118261;97.4;97.2
