"Kommunenavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
København;490415;471740;645186
Frederiksberg;84102;81260;103824
Ballerup;37515;36220;49222
Brøndby;24924;23939;35628
Dragør;11741;11309;14624
Gentofte;59744;57314;74220
Gladsaxe;53079;51069;69289
Glostrup;17636;17007;23489
Herlev;21756;20910;28828
Albertslund;19821;18829;27564
Hvidovre;39786;38218;53263
Høje-Taastrup;38077;36349;52884
Lyngby-Taarbæk;46632;44767;57874
Rødovre;30849;29642;41414
Ishøj;15574;14829;23170
Tårnby;32988;31585;42717
Vallensbæk;12075;11526;16482
Furesø;32678;31380;41401
Allerød;21042;20359;25871
Fredensborg;32155;31125;41146
Helsingør;50126;48377;62959
Hillerød;42158;40924;53213
Hørsholm;20453;19859;24766
Rudersdal;46472;44859;57306
Egedal;35581;34250;44347
Frederikssund;37289;36153;45748
Greve;39253;37825;50820
Køge;48623;47143;61739
Frederiksværk-Hundested;25186;24496;31341
Roskilde;72466;69901;89440
Solrød;18693;18099;23754
Gribskov;33028;32172;41131
Odsherred;26989;26205;32876
Holbæk;58692;56488;72804
Faxe;29417;28446;37147
Kalundborg;38635;37343;48439
Ringsted;27077;26066;35086
Slagelse;62713;60439;79626
Stevns;18807;18241;23464
Sorø;24191;23378;29984
Lejre;22936;22098;28637
Lolland;32109;30913;40115
Næstved;67018;64557;83739
Guldborgsund;48272;46855;60292
Vordingborg;36349;35330;45389
Bornholm;33217;31994;39669
Middelfart;32867;31438;39591
Assens;33887;32608;40987
Faaborg-Midtfyn;42555;41000;51846
Kerteminde;19906;19166;24026
Nyborg;26557;25592;32098
Odense;166812;160658;206086
Svendborg;48825;47030;59173
Nordfyns;24102;23297;29733
Langeland;10310;10031;12325
Ærø;5130;5008;6022
Haderslev;44220;42494;55394
Billund;21426;20529;26629
Sønderborg;59448;57448;73648
Tønder;29059;28040;36870
Esbjerg;92089;88405;115464
Fanø;2882;2797;3424
Varde;39625;38124;49698
Vejen;33730;32103;42632
Aabenraa;45942;44118;58646
Fredericia;41729;39815;51606
Horsens;74168;70573;94350
Kolding;74618;70798;93552
Vejle;94771;89978;118901
Herning;72473;68990;89254
Holstebro;47851;45656;58563
Lemvig;16203;15575;19400
Struer;17352;16640;20793
Syddjurs;35561;34379;43594
Norddjurs;30262;29247;36961
Favrskov;39721;37842;48879
Odder;19177;18606;23275
Randers;79748;76634;98915
Silkeborg;78012;74604;97252
Samsø;3099;3049;3722
Skanderborg;51449;49337;64239
Århus;286756;275521;355504
Ikast-Brande;33310;31659;41905
Ringkøbing-Skjern;45259;43557;56203
Hedensted;38308;36631;47137
Morsø;16500;15942;20052
Skive;37463;36055;45057
Thisted;34892;33834;43094
Viborg;79464;75672;96894
Brønderslev-Dronninglund;29239;27984;36165
Frederikshavn;48823;46708;58873
Vesthimmerlands;28935;27883;36354
Læsø;1476;1449;1772
Rebild;24356;23409;30652
Mariagerfjord;33837;32844;41637
Jammerbugt;31052;29880;38182
Ålborg;179852;173373;221210
Hjørring;52622;50639;63865
