"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;481584;463945;123724;81.4;78.4;20.9;591856
Midtjylland;1085636;1040227;302354;80.9;77.5;22.5;1341897
Syddanmark;990490;950477;270921;80.6;77.4;22.1;1228351
Hovedstaden;1446099;1392461;412659;77.4;74.5;22.1;1868576
Sjælland;672240;649327;202956;79.7;77.0;24.1;843351
