"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;19030;5;297892;6.4;0.0
0-9;M;20285;6;314582;6.4;0.0
10-19;K;257496;225233;344738;74.7;65.3
10-19;M;267023;232133;360348;74.1;64.4
20-29;K;314475;301216;381652;82.4;78.9
20-29;M;320779;305931;398325;80.5;76.8
30-39;K;296363;284219;350932;84.5;81.0
30-39;M;295049;283899;363231;81.2;78.2
40-49;K;342704;337651;374753;91.4;90.1
40-49;M;334764;329160;375564;89.1;87.6
50-59;K;377110;374138;401605;93.9;93.2
50-59;M;377937;374752;405014;93.3;92.5
60-69;K;325337;323963;339498;95.8;95.4
60-69;M;316329;314912;330174;95.8;95.4
70-79;K;292588;291916;300998;97.2;97.0
70-79;M;262682;262072;269927;97.3;97.1
80-89;K;127779;127365;131972;96.8;96.5
80-89;M;92765;92513;95363;97.3;97.0
90+;K;25356;25200;26835;94.5;93.9
90+;M;10198;10153;10628;96.0;95.5
