"dato";"kommunenavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-12-14;København;K;251785;242429;57426;251435;242175;52407;350;254;5019
2021-12-14;København;M;238630;229311;48694;238245;229088;43502;385;223;5192
2021-12-14;Frederiksberg;K;44886;43450;14497;44809;43427;13457;77;23;1040
2021-12-14;Frederiksberg;M;39216;37810;10884;39156;37782;9929;60;28;955
2021-12-14;Ballerup;K;19492;18825;6502;19464;18796;6176;28;29;326
2021-12-14;Ballerup;M;18023;17395;4665;18005;17380;4322;18;15;343
2021-12-14;Brøndby;K;12948;12443;4405;12928;12427;4068;20;16;337
2021-12-14;Brøndby;M;11976;11496;3231;11960;11493;2944;16;3;287
2021-12-14;Dragør;K;6086;5859;2291;6079;5848;2112;7;11;179
2021-12-14;Dragør;M;5655;5450;1841;5643;5441;1658;12;9;183
2021-12-14;Gentofte;K;31551;30314;11903;31493;30284;10993;58;30;910
2021-12-14;Gentofte;M;28193;27000;9310;28135;26977;8338;58;23;972
2021-12-14;Gladsaxe;K;27055;26077;8779;27025;26058;8119;30;19;660
2021-12-14;Gladsaxe;M;26024;24992;6382;25984;24969;5717;40;23;665
2021-12-14;Glostrup;K;8996;8702;3150;8982;8690;2938;14;12;212
2021-12-14;Glostrup;M;8640;8305;2241;8628;8291;2029;12;14;212
2021-12-14;Herlev;K;11335;10934;4082;11317;10926;3832;18;8;250
2021-12-14;Herlev;M;10421;9976;2772;10402;9967;2536;19;9;236
2021-12-14;Albertslund;K;10140;9661;3307;10132;9651;3171;8;10;136
2021-12-14;Albertslund;M;9681;9168;2578;9668;9160;2433;13;8;145
2021-12-14;Hvidovre;K;20410;19643;6677;20377;19625;6233;33;18;444
2021-12-14;Hvidovre;M;19376;18575;5031;19354;18558;4560;22;17;471
2021-12-14;Høje Tåstrup;K;19243;18383;6333;19217;18368;6050;26;15;283
