"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;481584;463945;591856
Midtjylland;1085636;1040227;1341897
Syddanmark;990490;950477;1228351
Hovedstaden;1446099;1392461;1868576
Sjælland;672240;649327;843351
