"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;18900;4;297762;6.3;0.0
0-9;M;20136;6;314433;6.4;0.0
10-19;K;242983;210730;330225;73.6;63.8
10-19;M;253282;218447;346607;73.1;63.0
20-29;K;315937;302735;383114;82.5;79.0
20-29;M;321782;306907;399328;80.6;76.9
30-39;K;295126;282862;349695;84.4;80.9
30-39;M;295353;284111;363535;81.2;78.2
40-49;K;336197;331140;368246;91.3;89.9
40-49;M;327881;322266;368681;88.9;87.4
50-59;K;376568;373573;401063;93.9;93.1
50-59;M;377755;374523;404832;93.3;92.5
60-69;K;327761;326373;341922;95.9;95.5
60-69;M;317852;316424;331697;95.8;95.4
70-79;K;296980;296285;305390;97.2;97.0
70-79;M;268537;267917;275782;97.4;97.1
80-89;K;137087;136672;141280;97.0;96.7
80-89;M;102142;101891;104740;97.5;97.3
90+;K;30699;30532;32178;95.4;94.9
90+;M;13091;13039;13521;96.8;96.4
