"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;490415;471740;106120;76.0;73.1;16.4;645186
Frederiksberg;84102;81260;25381;81.0;78.3;24.4;103824
Ballerup;37515;36220;11167;76.2;73.6;22.7;49222
Brøndby;24924;23939;7636;70.0;67.2;21.4;35628
Dragør;11741;11309;4132;80.3;77.3;28.3;14624
Gentofte;59744;57314;21213;80.5;77.2;28.6;74220
Gladsaxe;53079;51069;15161;76.6;73.7;21.9;69289
Glostrup;17636;17007;5391;75.1;72.4;23.0;23489
Herlev;21756;20910;6854;75.5;72.5;23.8;28828
Albertslund;19821;18829;5885;71.9;68.3;21.4;27564
Hvidovre;39786;38218;11708;74.7;71.8;22.0;53263
Høje Tåstrup;38077;36349;11178;72.0;68.7;21.1;52884
Lyngby-Taarbæk;46632;44767;14587;80.6;77.4;25.2;57874
Rødovre;30849;29642;9097;74.5;71.6;22.0;41414
Ishøj;15574;14829;4892;67.2;64.0;21.1;23170
Tårnby;32988;31585;9351;77.2;73.9;21.9;42717
Vallensbæk;12075;11526;3981;73.3;69.9;24.2;16482
Furesø;32678;31380;11080;78.9;75.8;26.8;41401
Allerød;21042;20359;6752;81.3;78.7;26.1;25871
Fredensborg;32155;31125;10751;78.1;75.6;26.1;41146
Helsingør;50126;48377;16781;79.6;76.8;26.7;62959
Hillerød;42158;40924;12491;79.2;76.9;23.5;53213
Hørsholm;20453;19859;8036;82.6;80.2;32.4;24766
Rudersdal;46472;44859;16386;81.1;78.3;28.6;57306
Egedal;35581;34250;10272;80.2;77.2;23.2;44347
Frederikssund;37289;36153;12258;81.5;79.0;26.8;45748
Greve;39253;37825;12740;77.2;74.4;25.1;50820
Køge;48623;47143;13787;78.8;76.4;22.3;61739
Halsnæs;25186;24496;8858;80.4;78.2;28.3;31341
Roskilde;72466;69901;21429;81.0;78.2;24.0;89440
Solrød;18693;18099;5561;78.7;76.2;23.4;23754
Gribskov;33028;32172;11267;80.3;78.2;27.4;41131
Odsherred;26989;26205;9012;82.1;79.7;27.4;32876
Holbæk;58692;56488;17288;80.6;77.6;23.7;72804
Faxe;29417;28446;8103;79.2;76.6;21.8;37147
Kalundborg;38635;37343;11431;79.8;77.1;23.6;48439
Ringsted;27077;26066;6163;77.2;74.3;17.6;35086
Slagelse;62713;60439;19884;78.8;75.9;25.0;79626
Stevns;18807;18241;5529;80.2;77.7;23.6;23464
Sorø;24191;23378;7191;80.7;78.0;24.0;29984
Lejre;22936;22098;7033;80.1;77.2;24.6;28637
Lolland;32109;30913;11185;80.0;77.1;27.9;40115
Næstved;67018;64557;19294;80.0;77.1;23.0;83739
Guldborgsund;48272;46855;16005;80.1;77.7;26.5;60292
Vordingborg;36349;35330;11321;80.1;77.8;24.9;45389
Bornholm;33217;31994;13993;83.7;80.7;35.3;39669
Middelfart;32867;31438;10248;83.0;79.4;25.9;39591
Assens;33887;32608;9455;82.7;79.6;23.1;40987
Faaborg-Midtfyn;42555;41000;12731;82.1;79.1;24.6;51846
Kerteminde;19906;19166;6204;82.9;79.8;25.8;24026
Nyborg;26557;25592;7284;82.7;79.7;22.7;32098
Odense;166812;160658;43729;80.9;78.0;21.2;206086
Svendborg;48825;47030;15372;82.5;79.5;26.0;59173
Nordfyn;24102;23297;6935;81.1;78.4;23.3;29733
Langeland;10310;10031;3463;83.7;81.4;28.1;12325
Ærø;5130;5008;1775;85.2;83.2;29.5;6022
Haderslev;44220;42494;10172;79.8;76.7;18.4;55394
Billund;21426;20529;5542;80.5;77.1;20.8;26629
Sønderborg;59448;57448;15442;80.7;78.0;21.0;73648
Tønder;29059;28040;6461;78.8;76.1;17.5;36870
Esbjerg;92089;88405;25472;79.8;76.6;22.1;115464
Fanø;2882;2797;981;84.2;81.7;28.7;3424
Varde;39625;38124;10756;79.7;76.7;21.6;49698
Vejen;33730;32103;8909;79.1;75.3;20.9;42632
Aabenraa;45942;44118;11750;78.3;75.2;20.0;58646
Fredericia;41729;39815;11560;80.9;77.2;22.4;51606
Horsens;74168;70573;20735;78.6;74.8;22.0;94350
Kolding;74618;70798;20111;79.8;75.7;21.5;93552
Vejle;94771;89978;26569;79.7;75.7;22.3;118901
Herning;72473;68990;20928;81.2;77.3;23.4;89254
Holstebro;47851;45656;13958;81.7;78.0;23.8;58563
Lemvig;16203;15575;5286;83.5;80.3;27.2;19400
Struer;17352;16640;5358;83.5;80.0;25.8;20793
Syddjurs;35561;34379;9887;81.6;78.9;22.7;43594
Norddjurs;30262;29247;8776;81.9;79.1;23.7;36961
Favrskov;39721;37842;10119;81.3;77.4;20.7;48879
Odder;19177;18606;5803;82.4;79.9;24.9;23275
Randers;79748;76634;22065;80.6;77.5;22.3;98915
Silkeborg;78012;74604;22331;80.2;76.7;23.0;97252
Samsø;3099;3049;679;83.3;81.9;18.2;3722
Skanderborg;51449;49337;14111;80.1;76.8;22.0;64239
Århus;286756;275521;74090;80.7;77.5;20.8;355504
Ikast-Brande;33310;31659;9416;79.5;75.5;22.5;41905
Ringkøbing-Skjern;45259;43557;13363;80.5;77.5;23.8;56203
Hedensted;38308;36631;10795;81.3;77.7;22.9;47137
Morsø;16500;15942;4831;82.3;79.5;24.1;20052
Skive;37463;36055;10773;83.1;80.0;23.9;45057
Thisted;34892;33834;9175;81.0;78.5;21.3;43094
Viborg;79464;75672;23881;82.0;78.1;24.6;96894
Brønderslev;29239;27984;7488;80.8;77.4;20.7;36165
Frederikshavn;48823;46708;13197;82.9;79.3;22.4;58873
Vesthimmerland;28935;27883;7775;79.6;76.7;21.4;36354
Læsø;1476;1449;461;83.3;81.8;26.0;1772
Rebild;24356;23409;6181;79.5;76.4;20.2;30652
Mariagerfjord;33837;32844;8869;81.3;78.9;21.3;41637
Jammerbugt;31052;29880;8506;81.3;78.3;22.3;38182
Aalborg;179852;173373;42475;81.3;78.4;19.2;221210
Hjørring;52622;50639;14766;82.4;79.3;23.1;63865
