"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;9;2;90611;0.0;0.0
0-2;M;1;0;95640;0.0;0.0
3-5;K;1608;1;91052;1.8;0.0
3-5;M;1670;3;96214;1.7;0.0
6-11;K;37988;15;179687;21.1;0.0
6-11;M;40406;20;188999;21.4;0.0
12-15;K;114184;105902;144175;79.2;73.5
12-15;M;120062;111251;151834;79.1;73.3
16-19;K;122737;119318;137105;89.5;87.0
16-19;M;125169;120865;142243;88.0;85.0
20-39;K;610838;585435;732584;83.4;79.9
20-39;M;615828;589830;761556;80.9;77.5
40-64;K;887706;878858;952413;93.2;92.3
40-64;M;878438;868735;954477;92.0;91.0
65-79;K;450033;448810;464441;96.9;96.6
65-79;M;413274;412161;426202;97.0;96.7
80+;K;153135;152565;158807;96.4;96.1
80+;M;102963;102666;105991;97.1;96.9
