Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     180 (51);     170 (49);     350
10-19;     343 (54);     289 (46);     632
20-29;   1.095 (62);     684 (38);   1.779
30-39;   1.105 (60);     723 (40);   1.828
40-49;   1.318 (60);     875 (40);   2.193
50-59;   1.354 (60);     914 (40);   2.268
60-69;     718 (50);     720 (50);   1.438
70-79;     488 (46);     575 (54);   1.063
80-89;     474 (57);     352 (43);     826
90+;     186 (72);      73 (28);     259
I alt;   7.261 (57);   5.375 (43);  12.636
