Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.586.940; 136.135;   7.627;   1.340
Sjælland; 665.150;  38.991;   2.631;     406
Syddanmark; 992.025;  40.593;   1.854;     222
Midtjylland;1.083.702;  50.769;   2.280;     358
Nordjylland; 504.104;  21.338;     998;     188
