Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.530.094; 115.044;   6.879;   1.305
Sjælland; 636.516;  33.104;   2.387;     401
Syddanmark; 950.665;  34.789;   1.682;     217
Midtjylland;1.035.730;  41.729;   2.016;     351
Nordjylland; 488.175;  16.255;     869;     181
I alt i Danmark;4.641.180; 240.921;  13.833;   2.455
