"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;466461;457876;591979
Midtjylland;1045301;1025270;1341175
Syddanmark;955784;936518;1227763
Hovedstaden;1403219;1371615;1867513
Sjælland;652607;639867;843005
