"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;15;3;297576;0.0;0.0
0-9;M;14;3;314204;0.0;0.0
10-19;K;213498;202595;330427;64.6;61.3
10-19;M;221824;209566;346677;64.0;60.4
20-29;K;305559;293544;382877;79.8;76.7
20-29;M;311701;298104;399088;78.1;74.7
30-39;K;285664;273603;349008;81.9;78.4
30-39;M;287045;276734;362553;79.2;76.3
40-49;K;333396;328291;368873;90.4;89.0
40-49;M;324628;319280;369206;87.9;86.5
50-59;K;374488;371548;400832;93.4;92.7
50-59;M;375426;372416;404608;92.8;92.0
60-69;K;326681;325338;341663;95.6;95.2
60-69;M;316912;315635;331646;95.6;95.2
70-79;K;296416;295790;305215;97.1;96.9
70-79;M;267817;267256;275516;97.2;97.0
80-89;K;136591;136215;141025;96.9;96.6
80-89;M;101853;101624;104601;97.4;97.2
90+;K;30743;30558;32287;95.2;94.6
90+;M;13101;13043;13553;96.7;96.2
