"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90457;0.0;0.0
0-2;M;1;0;95407;0.0;0.0
3-5;K;3;1;91089;0.0;0.0
3-5;M;4;2;96239;0.0;0.0
6-11;K;22;9;179530;0.0;0.0
6-11;M;22;10;188982;0.0;0.0
12-15;K;105959;97579;142431;74.4;68.5
12-15;M;111514;102777;149913;74.4;68.6
16-19;K;120008;117327;136982;87.6;85.7
16-19;M;122154;118400;142197;85.9;83.3
20-39;K;591197;567197;731859;80.8;77.5
20-39;M;597573;573814;760468;78.6;75.5
40-64;K;881789;872963;952243;92.6;91.7
40-64;M;871782;862702;954268;91.4;90.4
65-79;K;449941;448829;465089;96.7;96.5
65-79;M;413434;412396;427141;96.8;96.5
80+;K;154124;153578;160103;96.3;95.9
80+;M;103837;103560;107037;97.0;96.8
