"Kommunenavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
København;476018;463484;644620
Frederiksberg;81804;80137;103896
Ballerup;36518;35747;49205
Brøndby;24212;23550;35534
Dragør;11357;11147;14605
Gentofte;57623;56507;74192
Gladsaxe;51492;50464;69265
Glostrup;17175;16796;23481
Herlev;21127;20656;28862
Albertslund;19105;18459;27481
Hvidovre;38626;37711;53276
Høje-Taastrup;36708;35682;52834
Lyngby-Taarbæk;44992;44153;57844
Rødovre;29867;29153;41301
Ishøj;15097;14553;23174
Tårnby;31826;31165;42663
Vallensbæk;11682;11360;16520
Furesø;31532;31017;41383
Allerød;20424;20162;25879
Fredensborg;31296;30718;41141
Helsingør;48651;47708;63007
Hillerød;41056;40300;53076
Hørsholm;19947;19620;24795
Rudersdal;45063;44285;57295
Egedal;34439;33818;44330
Frederikssund;36383;35715;45760
Greve;38005;37201;50761
Køge;47423;46440;61737
Frederiksværk-Hundested;24656;24199;31329
Roskilde;70208;68911;89394
Solrød;18119;17764;23695
Gribskov;32342;31731;41076
Odsherred;26359;25923;32893
Holbæk;56869;55707;72738
Faxe;28517;27958;37065
Kalundborg;37567;36835;48453
Ringsted;26176;25697;35109
Slagelse;60866;59581;79651
Stevns;18285;17991;23411
Sorø;23472;23056;29980
Lejre;22173;21770;28603
Lolland;31135;30513;40174
Næstved;64774;63495;83679
Guldborgsund;47133;46194;60287
Vordingborg;35526;34831;45375
Bornholm;32201;31618;39689
Middelfart;31546;31046;39552
Assens;32719;32167;40923
Faaborg-Midtfyn;41176;40451;51843
Kerteminde;19252;18940;23995
Nyborg;25697;25283;32066
Odense;161604;158163;206142
Svendborg;47216;46321;59174
Nordfyns;23363;22936;29700
Langeland;10083;9919;12321
Ærø;5041;4975;6027
Haderslev;42660;41735;55370
Billund;20634;20211;26616
Sønderborg;57875;56745;73650
Tønder;28242;27620;36869
Esbjerg;89102;87440;115464
Fanø;2817;2783;3432
Varde;38322;37633;49652
Vejen;32294;31594;42669
Aabenraa;44386;43370;58614
Fredericia;40002;39229;51591
Horsens;70991;69331;94163
Kolding;71185;69523;93455
Vejle;90568;88434;118638
Herning;69371;67904;89229
Holstebro;45750;44875;58547
Lemvig;15614;15374;19385
Struer;16694;16413;20784
Syddjurs;34584;34109;43639
Norddjurs;29401;28950;36994
Favrskov;37972;37355;48804
Odder;18676;18415;23273
Randers;76980;75476;98866
Silkeborg;74839;73485;97128
Samsø;3102;3049;3726
Skanderborg;49453;48671;64186
Århus;277410;271492;355364
Ikast-Brande;31849;31149;41905
Ringkøbing-Skjern;43736;42901;56195
Hedensted;36770;36056;47078
Morsø;16070;15741;20076
Skive;36195;35634;45081
Thisted;34018;33386;43127
Viborg;75914;74631;96828
Brønderslev-Dronninglund;28159;27639;36164
Frederikshavn;47005;46337;58890
Vesthimmerlands;28071;27619;36351
Læsø;1464;1446;1774
Rebild;23459;23052;30615
Mariagerfjord;33049;32441;41652
Jammerbugt;29906;29412;38196
Ålborg;174356;170776;221255
Hjørring;50904;50027;63879
