"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;7;2;90456;0.0;0.0
0-2;M;1;0;95407;0.0;0.0
3-5;K;4;1;91090;0.0;0.0
3-5;M;4;2;96239;0.0;0.0
6-11;K;16;6;179524;0.0;0.0
6-11;M;16;5;188976;0.0;0.0
12-15;K;96114;87827;132586;72.5;66.2
12-15;M;101500;92889;139899;72.6;66.4
16-19;K;117372;114762;134346;87.4;85.4
16-19;M;120317;116673;140360;85.7;83.1
20-39;K;591223;567147;731885;80.8;77.5
20-39;M;598746;574838;761641;78.6;75.5
40-64;K;876101;867222;946555;92.6;91.6
40-64;M;865444;856301;947930;91.3;90.3
65-79;K;454880;453745;470028;96.8;96.5
65-79;M;419339;418286;433046;96.8;96.6
80+;K;167334;166773;173313;96.6;96.2
80+;M;114954;114667;118154;97.3;97.0
