"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;18;4;297579;0.0;0.0
0-9;M;14;3;314204;0.0;0.0
10-19;K;225982;214914;342911;65.9;62.7
10-19;M;233681;221186;358534;65.2;61.7
20-29;K;304045;291981;381363;79.7;76.6
20-29;M;310561;297020;397948;78.0;74.6
30-39;K;287152;275216;350496;81.9;78.5
30-39;M;287012;276794;362520;79.2;76.4
40-49;K;339123;334037;374600;90.5;89.2
40-49;M;330723;325403;375301;88.1;86.7
50-59;K;375228;372307;401572;93.4;92.7
50-59;M;375824;372846;405006;92.8;92.1
60-69;K;324676;323352;339658;95.6;95.2
60-69;M;315689;314424;330423;95.5;95.2
70-79;K;292703;292096;301502;97.1;96.9
70-79;M;262980;262425;270679;97.2;97.0
80-89;K;128349;127976;132783;96.7;96.4
80-89;M;93393;93166;96141;97.1;96.9
90+;K;25775;25602;27319;94.3;93.7
90+;M;10444;10394;10896;95.9;95.4
