"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;16987;61
AstraZeneca Covid-19 vaccine;Midtjylland;33924;153
AstraZeneca Covid-19 vaccine;Syddanmark;30738;410
AstraZeneca Covid-19 vaccine;Hovedstaden;46066;800
AstraZeneca Covid-19 vaccine;Sjælland;23970;433
Janssen COVID-19 vaccine;Nordjylland;3638;3638
Janssen COVID-19 vaccine;Midtjylland;9835;9835
Janssen COVID-19 vaccine;Syddanmark;7519;7519
Janssen COVID-19 vaccine;Hovedstaden;22557;22557
Janssen COVID-19 vaccine;Sjælland;2826;2826
Moderna Covid-19 Vaccine;Nordjylland;70549;69193
Moderna Covid-19 Vaccine;Midtjylland;123955;120609
Moderna Covid-19 Vaccine;Syddanmark;132928;158137
Moderna Covid-19 Vaccine;Hovedstaden;149849;145332
Moderna Covid-19 Vaccine;Sjælland;83295;103203
Pfizer BioNTech Covid-19 vacc;Nordjylland;375287;384984
Pfizer BioNTech Covid-19 vacc;Midtjylland;877587;894673
Pfizer BioNTech Covid-19 vacc;Syddanmark;784599;770452
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1184747;1202926
Pfizer BioNTech Covid-19 vacc;Sjælland;542516;533405
