"Vaccinedato";"geo";"Antal færdigvacc. personer";"Antal borgere";"Færdigvacc. (%)";"Kumuleret antal færdigvacc."
2021-01-01;Nationalt;1;5871435;0.00;1
2021-01-04;Nationalt;1;5871435;0.00;2
2021-01-07;Nationalt;1;5871435;0.00;3
2021-01-08;Nationalt;1;5871435;0.00;4
2021-01-09;Nationalt;2;5871435;0.00;6
2021-01-12;Nationalt;2;5871435;0.00;8
2021-01-13;Nationalt;3;5871435;0.00;11
2021-01-14;Nationalt;1;5871435;0.00;12
2021-01-15;Nationalt;5;5871435;0.00;17
2021-01-16;Nationalt;9;5871435;0.00;26
2021-01-17;Nationalt;645;5871435;0.01;671
2021-01-18;Nationalt;1977;5871435;0.05;2648
2021-01-19;Nationalt;1931;5871435;0.08;4579
2021-01-20;Nationalt;1739;5871435;0.11;6318
2021-01-21;Nationalt;2198;5871435;0.15;8516
2021-01-22;Nationalt;5355;5871435;0.24;13871
2021-01-23;Nationalt;6592;5871435;0.35;20463
2021-01-24;Nationalt;5958;5871435;0.45;26421
2021-01-25;Nationalt;2320;5871435;0.49;28741
2021-01-26;Nationalt;1636;5871435;0.52;30377
2021-01-27;Nationalt;4140;5871435;0.59;34517
2021-01-28;Nationalt;7855;5871435;0.72;42372
2021-01-29;Nationalt;17373;5871435;1.02;59745
2021-01-30;Nationalt;12079;5871435;1.22;71824
2021-01-31;Nationalt;11387;5871435;1.42;83211
2021-02-01;Nationalt;7568;5871435;1.55;90779
2021-02-02;Nationalt;2896;5871435;1.60;93675
2021-02-03;Nationalt;5988;5871435;1.70;99663
2021-02-04;Nationalt;10539;5871435;1.88;110202
2021-02-05;Nationalt;12862;5871435;2.10;123064
2021-02-06;Nationalt;6482;5871435;2.21;129546
2021-02-07;Nationalt;3490;5871435;2.27;133036
2021-02-08;Nationalt;6797;5871435;2.38;139833
2021-02-09;Nationalt;4701;5871435;2.46;144534
2021-02-10;Nationalt;3781;5871435;2.53;148315
2021-02-11;Nationalt;2404;5871435;2.57;150719
2021-02-12;Nationalt;7537;5871435;2.70;158256
2021-02-13;Nationalt;931;5871435;2.71;159187
2021-02-14;Nationalt;607;5871435;2.72;159794
2021-02-15;Nationalt;3096;5871435;2.77;162890
2021-02-16;Nationalt;1312;5871435;2.80;164202
2021-02-17;Nationalt;416;5871435;2.80;164618
2021-02-18;Nationalt;314;5871435;2.81;164932
2021-02-19;Nationalt;945;5871435;2.83;165877
2021-02-20;Nationalt;562;5871435;2.83;166439
2021-02-21;Nationalt;352;5871435;2.84;166791
2021-02-22;Nationalt;1085;5871435;2.86;167876
2021-02-23;Nationalt;1892;5871435;2.89;169768
2021-02-24;Nationalt;1871;5871435;2.92;171639
2021-02-25;Nationalt;611;5871435;2.93;172250
2021-02-26;Nationalt;999;5871435;2.95;173249
2021-02-27;Nationalt;1378;5871435;2.97;174627
2021-02-28;Nationalt;1333;5871435;3.00;175960
2021-03-01;Nationalt;1048;5871435;3.01;177008
2021-03-02;Nationalt;1262;5871435;3.04;178270
2021-03-03;Nationalt;1004;5871435;3.05;179274
2021-03-04;Nationalt;1779;5871435;3.08;181053
2021-03-05;Nationalt;5599;5871435;3.18;186652
2021-03-06;Nationalt;3861;5871435;3.24;190513
2021-03-07;Nationalt;4203;5871435;3.32;194716
2021-03-08;Nationalt;6309;5871435;3.42;201025
2021-03-09;Nationalt;7007;5871435;3.54;208032
2021-03-10;Nationalt;7043;5871435;3.66;215075
2021-03-11;Nationalt;7796;5871435;3.80;222871
2021-03-12;Nationalt;10314;5871435;3.97;233185
2021-03-13;Nationalt;5754;5871435;4.07;238939
2021-03-14;Nationalt;9187;5871435;4.23;248126
2021-03-15;Nationalt;9665;5871435;4.39;257791
2021-03-16;Nationalt;9261;5871435;4.55;267052
2021-03-17;Nationalt;8961;5871435;4.70;276013
2021-03-18;Nationalt;7127;5871435;4.82;283140
2021-03-19;Nationalt;11547;5871435;5.02;294687
2021-03-20;Nationalt;4737;5871435;5.10;299424
2021-03-21;Nationalt;4591;5871435;5.18;304015
2021-03-22;Nationalt;7642;5871435;5.31;311657
2021-03-23;Nationalt;7476;5871435;5.44;319133
2021-03-24;Nationalt;13238;5871435;5.66;332371
