"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;466461;457876;47601;78.8;77.3;8.0;591979
Midtjylland;1045301;1025270;116513;77.9;76.4;8.7;1341175
Syddanmark;955784;936518;101819;77.8;76.3;8.3;1227763
Hovedstaden;1403219;1371615;145328;75.1;73.4;7.8;1867513
Sjælland;652607;639867;79177;77.4;75.9;9.4;843005
