"dato";"kommunenavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2022-03-04;København;K;260766;255547;184698;260707;255464;184493;59;83;205
2022-03-04;København;M;247392;241952;165742;247379;241917;165585;13;35;157
2022-03-04;Frederiksberg;K;46174;45421;34958;46174;45421;34953;0;0;5
2022-03-04;Frederiksberg;M;40584;39771;28943;40592;39780;28933;-8;-9;10
2022-03-04;Ballerup;K;20248;19833;15271;20257;19842;15275;-9;-9;-4
2022-03-04;Ballerup;M;18808;18411;13594;18800;18403;13590;8;8;4
2022-03-04;Brøndby;K;13432;13073;9588;13432;13074;9582;0;-1;6
2022-03-04;Brøndby;M;12447;12096;8612;12445;12094;8609;2;2;3
2022-03-04;Dragør;K;6321;6178;4819;6324;6180;4822;-3;-2;-3
2022-03-04;Dragør;M;5923;5790;4333;5928;5796;4337;-5;-6;-4
2022-03-04;Gentofte;K;32771;32192;24705;32778;32199;24703;-7;-7;2
2022-03-04;Gentofte;M;29442;28834;21289;29440;28832;21272;2;2;17
2022-03-04;Gladsaxe;K;28217;27649;20663;28223;27654;20663;-6;-5;0
2022-03-04;Gladsaxe;M;27252;26621;19040;27273;26642;19047;-21;-21;-7
2022-03-04;Glostrup;K;9303;9107;6833;9307;9108;6830;-4;-1;3
2022-03-04;Glostrup;M;8952;8753;6251;8949;8748;6245;3;5;6
2022-03-04;Herlev;K;11759;11488;8721;11774;11504;8720;-15;-16;1
2022-03-04;Herlev;M;10853;10575;7599;10866;10588;7604;-13;-13;-5
2022-03-04;Albertslund;K;10540;10255;7293;10545;10260;7291;-5;-5;2
2022-03-04;Albertslund;M;10070;9752;6739;10074;9755;6737;-4;-3;2
2022-03-04;Hvidovre;K;21278;20744;15304;21276;20741;15298;2;3;6
2022-03-04;Hvidovre;M;20219;19708;13979;20226;19715;13978;-7;-7;1
2022-03-04;Høje Tåstrup;K;20071;19608;14269;20054;19592;14249;17;16;20
2022-03-04;Høje Tåstrup;M;19808;19312;13604;19792;19300;13587;16;12;17
2022-03-04;Lyngby-Taarbæk;K;24859;24374;18853;24864;24376;18845;-5;-2;8
2022-03-04;Lyngby-Taarbæk;M;23740;23194;17008;23749;23201;17004;-9;-7;4
2022-03-04;Rødovre;K;16706;16345;12199;16712;16346;12199;-6;-1;0
2022-03-04;Rødovre;M;15435;15025;10638;15434;15025;10632;1;0;6
2022-03-04;Ishøj;K;8237;8002;5480;8238;8001;5470;-1;1;10
2022-03-04;Ishøj;M;7963;7711;5210;7961;7710;5205;2;1;5
2022-03-04;Tårnby;K;17559;17231;13070;17568;17239;13073;-9;-8;-3
2022-03-04;Tårnby;M;16684;16308;11810;16694;16318;11813;-10;-10;-3
2022-03-04;Vallensbæk;K;6355;6202;4531;6365;6212;4535;-10;-10;-4
2022-03-04;Vallensbæk;M;6169;6020;4251;6181;6030;4257;-12;-10;-6
2022-03-04;Furesø;K;17681;17334;13430;17675;17328;13422;6;6;8
2022-03-04;Furesø;M;16543;16199;12050;16548;16202;12052;-5;-3;-2
2022-03-04;Allerød;K;11278;11106;8672;11282;11110;8671;-4;-4;1
2022-03-04;Allerød;M;10717;10518;8007;10723;10523;8011;-6;-5;-4
2022-03-04;Fredensborg;K;17490;17213;13296;17496;17218;13296;-6;-5;0
2022-03-04;Fredensborg;M;16076;15759;11903;16083;15764;11905;-7;-5;-2
2022-03-04;Helsingør;K;26967;26537;20994;26971;26540;20987;-4;-3;7
2022-03-04;Helsingør;M;24732;24260;18540;24728;24250;18528;4;10;12
2022-03-04;Hillerød;K;22693;22359;17292;22695;22357;17296;-2;2;-4
2022-03-04;Hillerød;M;21383;20957;15739;21391;20963;15743;-8;-6;-4
