"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;499367;491096;376417;84.4;83.0;63.6;591625
Midtjylland;1123609;1105412;840394;83.6;82.3;62.5;1343731
Syddanmark;1024393;1008429;768982;83.3;82.0;62.6;1229131
Hovedstaden;1501160;1470541;1083391;80.2;78.6;57.9;1870919
Sjælland;695322;684187;527397;82.4;81.1;62.5;843877
