"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
00-02;K;7;2;90887;0.0;0.0
00-02;M;1;0;95834;0.0;0.0
03-05;K;9303;6586;92885;10.0;7.1
03-05;M;10111;7169;98279;10.3;7.3
06-11;K;92187;75691;181392;50.8;41.7
06-11;M;97236;79962;190657;51.0;41.9
12-15;K;120090;117201;146149;82.2;80.2
12-15;M;126165;122950;153848;82.0;79.9
16-19;K;124491;123008;137355;90.6;89.6
16-19;M;127218;125109;142480;89.3;87.8
20-39;K;624296;613262;734881;85.0;83.5
20-39;M;628144;615257;763447;82.3;80.6
40-64;K;891406;886893;952624;93.6;93.1
40-64;M;882532;877839;954767;92.4;91.9
65-79;K;449076;448341;462594;97.1;96.9
65-79;M;411633;410976;423540;97.2;97.0
80+;K;149726;149361;154784;96.7;96.5
80+;M;100229;100058;102880;97.4;97.3
