"Regionsnavn";"Aldersgruppe";"sex";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;0-9;K;18436;13720
Hovedstaden;0-9;M;19529;14591
Hovedstaden;10-19;K;81275;77672
Hovedstaden;10-19;M;83796;79825
Hovedstaden;20-29;K;122968;120655
Hovedstaden;20-29;M;116258;113519
Hovedstaden;30-39;K;110852;108845
Hovedstaden;30-39;M;108172;106145
Hovedstaden;40-49;K;112724;111671
Hovedstaden;40-49;M;109473;108462
Hovedstaden;50-59;K;113257;112678
Hovedstaden;50-59;M;112418;111794
Hovedstaden;60-69;K;88932;88666
Hovedstaden;60-69;M;84268;83982
Hovedstaden;70-79;K;81997;81826
Hovedstaden;70-79;M;68081;67961
Hovedstaden;80-89;K;35753;35658
Hovedstaden;80-89;M;23342;23289
Hovedstaden;90+;K;7135;7096
Hovedstaden;90+;M;2494;2486
Midtjylland;0-9;K;16252;12846
Midtjylland;0-9;M;17352;13734
Midtjylland;10-19;K;69814;67723
Midtjylland;10-19;M;71811;69485
Midtjylland;20-29;K;79877;78690
Midtjylland;20-29;M;81718;80119
Midtjylland;30-39;K;68410;67409
Midtjylland;30-39;M;69175;68133
Midtjylland;40-49;K;77882;77466
Midtjylland;40-49;M;76948;76463
Midtjylland;50-59;K;84490;84226
Midtjylland;50-59;M;84960;84693
Midtjylland;60-69;K;74420;74276
Midtjylland;60-69;M;72844;72711
Midtjylland;70-79;K;63697;63640
Midtjylland;70-79;M;58854;58799
Midtjylland;80-89;K;27251;27202
Midtjylland;80-89;M;20461;20431
Midtjylland;90+;K;5187;5166
Midtjylland;90+;M;2206;2200
Nordjylland;0-9;K;6625;5224
Nordjylland;0-9;M;6924;5403
Nordjylland;10-19;K;28881;27973
Nordjylland;10-19;M;30321;29249
Nordjylland;20-29;K;31578;30999
Nordjylland;20-29;M;35323;34491
Nordjylland;30-39;K;27945;27511
Nordjylland;30-39;M;28870;28336
Nordjylland;40-49;K;32466;32277
Nordjylland;40-49;M;32618;32396
Nordjylland;50-59;K;38484;38346
Nordjylland;50-59;M;38911;38765
Nordjylland;60-69;K;35798;35707
Nordjylland;60-69;M;35288;35211
Nordjylland;70-79;K;31574;31534
Nordjylland;70-79;M;29666;29626
Nordjylland;80-89;K;13840;13823
Nordjylland;80-89;M;10517;10502
Nordjylland;90+;K;2593;2584
Nordjylland;90+;M;1145;1139
Sjælland;0-9;K;8158;6464
Sjælland;0-9;M;8833;7005
Sjælland;10-19;K;40934;39627
Sjælland;10-19;M;43429;41947
Sjælland;20-29;K;30293;29563
Sjælland;20-29;M;33036;32129
Sjælland;30-39;K;37489;36762
Sjælland;30-39;M;36303;35587
Sjælland;40-49;K;50662;50284
Sjælland;40-49;M;48533;48154
Sjælland;50-59;K;60039;59767
Sjælland;50-59;M;60243;60018
Sjælland;60-69;K;52850;52717
Sjælland;60-69;M;51371;51234
Sjælland;70-79;K;49308;49235
Sjælland;70-79;M;44690;44629
Sjælland;80-89;K;19670;19624
Sjælland;80-89;M;14671;14655
Sjælland;90+;K;3406;3387
Sjælland;90+;M;1404;1399
Syddanmark;0-9;K;13570;10983
Syddanmark;0-9;M;14565;11844
Syddanmark;10-19;K;62133;60256
Syddanmark;10-19;M;64171;62107
Syddanmark;20-29;K;57303;56177
Syddanmark;20-29;M;61613;60149
Syddanmark;30-39;K;57581;56651
Syddanmark;30-39;M;57676;56649
Syddanmark;40-49;K;71264;70793
Syddanmark;40-49;M;69656;69106
Syddanmark;50-59;K;82035;81741
Syddanmark;50-59;M;82822;82516
Syddanmark;60-69;K;73526;73382
Syddanmark;60-69;M;72663;72505
Syddanmark;70-79;K;65077;65002
Syddanmark;70-79;M;59858;59790
Syddanmark;80-89;K;29320;29278
Syddanmark;80-89;M;21719;21691
Syddanmark;90+;K;5571;5543
Syddanmark;90+;M;2270;2266
