"Kommunenavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
København;508158;497499;646492
Frederiksberg;86758;85192;103760
Ballerup;39056;38244;49323
Brøndby;25879;25169;35793
Dragør;12244;11968;14580
Gentofte;62213;61026;74266
Gladsaxe;55469;54270;69250
Glostrup;18255;17860;23474
Herlev;22612;22063;28767
Albertslund;20610;20007;27592
Hvidovre;41497;40452;53205
Høje-Taastrup;39879;38920;53391
Lyngby-Taarbæk;48599;47568;57884
Rødovre;32141;31370;41454
Ishøj;16200;15713;23256
Tårnby;34243;33539;42718
Vallensbæk;12524;12222;16485
Furesø;34224;33533;41422
Allerød;21995;21624;25848
Fredensborg;33566;32972;41244
Helsingør;51699;50797;62869
Hillerød;44076;43316;53316
Hørsholm;21098;20763;24729
Rudersdal;48415;47528;57244
Egedal;36970;36350;44486
Frederikssund;38517;37872;45840
Greve;40775;40010;50878
Køge;50461;49522;61690
Frederiksværk-Hundested;26022;25531;31370
Roskilde;75074;73841;89568
Solrød;19477;19134;23813
Gribskov;34201;33657;41212
Odsherred;27642;27278;32829
Holbæk;60744;59800;72967
Faxe;30443;29928;37149
Kalundborg;39786;39175;48360
Ringsted;28243;27772;35250
Slagelse;65043;63910;79703
Stevns;19515;19196;23568
Sorø;25165;24813;29991
Lejre;23725;23373;28582
Lolland;32783;32309;39999
Næstved;69322;68271;83995
Guldborgsund;49705;49033;60266
Vordingborg;37419;36822;45269
Bornholm;34040;33516;39649
Middelfart;33938;33457;39673
Assens;34946;34421;40916
Faaborg-Midtfyn;44256;43573;51899
Kerteminde;20489;20145;23976
Nyborg;27532;27119;32106
Odense;172277;169313;206206
Svendborg;50584;49853;59219
Nordfyns;24987;24574;29748
Langeland;10560;10441;12301
Ærø;5268;5184;6020
Haderslev;45621;44915;55269
Billund;22189;21858;26704
Sønderborg;61647;60729;73729
Tønder;29962;29512;36834
Esbjerg;95700;94229;115451
Fanø;2972;2936;3430
Varde;41175;40512;49675
Vejen;34941;34344;42600
Aabenraa;47229;46589;58696
Fredericia;43068;42396;51631
Horsens;77156;75940;94953
Kolding;76998;75829;93652
Vejle;98054;96500;119396
Herning;74690;73528;89332
Holstebro;49457;48666;58581
Lemvig;16545;16348;19376
Struer;17841;17575;20760
Syddjurs;36980;36437;43729
Norddjurs;31275;30817;36933
Favrskov;41419;40746;48965
Odder;19994;19705;23364
Randers;82554;81242;99067
Silkeborg;81026;79659;97672
Samsø;3246;3214;3711
Skanderborg;53935;52952;64454
Århus;295843;290470;355643
Ikast-Brande;34364;33861;41926
Ringkøbing-Skjern;46920;46228;56239
Hedensted;39577;39063;47135
Morsø;17050;16746;20065
Skive;38763;38218;45030
Thisted;36319;35752;43057
Viborg;82024;80743;96861
Brønderslev-Dronninglund;30534;30025;36277
Frederikshavn;50142;49426;58811
Vesthimmerlands;30028;29568;36242
Læsø;1537;1521;1783
Rebild;25474;25025;30689
Mariagerfjord;35240;34592;41645
Jammerbugt;32295;31727;38142
Ålborg;186290;183060;221129
Hjørring;54458;53654;63785
