"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;499367;491096;591625
Midtjylland;1123609;1105412;1343731
Syddanmark;1024393;1008429;1229131
Hovedstaden;1501160;1470541;1870919
Sjælland;695322;684187;843877
