"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;63041;49237;301365;20.9;16.3
0-9;M;67203;52577;318227;21.1;16.5
10-19;K;283037;273251;347303;81.5;78.7
10-19;M;293528;282613;362871;80.9;77.9
20-29;K;322019;316084;382795;84.1;82.6
20-29;M;327948;320407;399005;82.2;80.3
30-39;K;302277;297178;352086;85.9;84.4
30-39;M;300196;294850;364442;82.4;80.9
40-49;K;344998;342491;375090;92.0;91.3
40-49;M;337228;334581;376177;89.6;88.9
50-59;K;378305;376758;401595;94.2;93.8
50-59;M;379354;377786;405024;93.7;93.3
60-69;K;325526;324748;339075;96.0;95.8
60-69;M;316434;315643;329328;96.1;95.8
70-79;K;291653;291237;299458;97.4;97.3
70-79;M;261149;260805;267778;97.5;97.4
80-89;K;125834;125585;129623;97.1;96.9
80-89;M;90710;90568;92996;97.5;97.4
90+;K;23892;23776;25161;95.0;94.5
90+;M;9519;9490;9884;96.3;96.0
