"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
00-02;K;6;2;90886;0.0;0.0
00-02;M;1;0;95834;0.0;0.0
03-05;K;7476;5251;91058;8.2;5.8
03-05;M;8114;5694;96282;8.4;5.9
06-11;K;89464;72971;178669;50.1;40.8
06-11;M;94363;77054;187784;50.3;41.0
12-15;K;106718;103458;132777;80.4;77.9
12-15;M;112607;109078;140290;80.3;77.8
16-19;K;121295;119829;134159;90.4;89.3
16-19;M;125204;123170;140466;89.1;87.7
20-39;K;624592;613525;735177;85.0;83.5
20-39;M;629853;616845;765156;82.3;80.6
40-64;K;884676;880104;945894;93.5;93.0
40-64;M;875129;870339;947364;92.4;91.9
65-79;K;457487;456715;471005;97.1;97.0
65-79;M;421706;421025;433613;97.3;97.1
80+;K;168868;168490;173926;97.1;96.9
80+;M;116292;116115;118943;97.8;97.6
