"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2022-03-04;Hovedstaden;K;773329;758487;570607;773328;758437;570295;1;50;312
2022-03-04;Hovedstaden;M;727831;712054;512784;727861;712049;512509;-30;5;275
2022-03-04;Midtjylland;K;567280;558644;433415;567314;558659;433312;-34;-15;103
2022-03-04;Midtjylland;M;556329;546768;406979;556320;546744;406847;9;24;132
2022-03-04;Nordjylland;K;249784;245978;192841;249808;245995;192844;-24;-17;-3
2022-03-04;Nordjylland;M;249583;245118;183576;249616;245148;183589;-33;-30;-13
2022-03-04;Sjælland;K;352809;347430;272838;352825;347432;272786;-16;-2;52
2022-03-04;Sjælland;M;342513;336757;254559;342513;336751;254497;0;6;62
2022-03-04;Syddanmark;K;517380;509806;396846;517336;509746;396718;44;60;128
2022-03-04;Syddanmark;M;507013;498623;372136;506994;498587;372023;19;36;113
