"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;17046;107
AstraZeneca Covid-19 vaccine;Midtjylland;34071;266
AstraZeneca Covid-19 vaccine;Syddanmark;30860;507
AstraZeneca Covid-19 vaccine;Hovedstaden;46602;1268
AstraZeneca Covid-19 vaccine;Sjælland;24049;479
Janssen COVID-19 vaccine;Nordjylland;3696;459
Janssen COVID-19 vaccine;Midtjylland;9917;973
Janssen COVID-19 vaccine;Syddanmark;7632;914
Janssen COVID-19 vaccine;Hovedstaden;22829;2692
Janssen COVID-19 vaccine;Sjælland;2854;423
Moderna Covid-19 Vaccine;Nordjylland;71459;73744
Moderna Covid-19 Vaccine;Midtjylland;127777;134656
Moderna Covid-19 Vaccine;Syddanmark;136315;169626
Moderna Covid-19 Vaccine;Hovedstaden;153361;169347
Moderna Covid-19 Vaccine;Sjælland;85413;108567
Pfizer BioNTech Covid-19 vacc;Nordjylland;407166;416786
Pfizer BioNTech Covid-19 vacc;Midtjylland;951844;969517
Pfizer BioNTech Covid-19 vacc;Syddanmark;849586;837382
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1278368;1297234
Pfizer BioNTech Covid-19 vacc;Sjælland;583006;574718
