"Regionsnavn";"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;00-02;K;2;0
Hovedstaden;00-02;M;0;0
Hovedstaden;03-05;K;2267;1494
Hovedstaden;03-05;M;2449;1638
Hovedstaden;06-11;K;25805;20076
Hovedstaden;06-11;M;26991;20983
Hovedstaden;12-15;K;30593;29411
Hovedstaden;12-15;M;32506;31247
Hovedstaden;16-19;K;34596;34023
Hovedstaden;16-19;M;35343;34598
Hovedstaden;20-39;K;233181;228841
Hovedstaden;20-39;M;223909;219105
Hovedstaden;40-64;K;271909;270106
Hovedstaden;40-64;M;267127;265281
Hovedstaden;65-79;K;126826;126525
Hovedstaden;65-79;M;109492;109250
Hovedstaden;80+;K;48150;48011
Hovedstaden;80+;M;30014;29952
Midtjylland;00-02;K;2;1
Midtjylland;00-02;M;1;0
Midtjylland;03-05;K;1923;1361
Midtjylland;03-05;M;2101;1482
Midtjylland;06-11;K;23042;19094
Midtjylland;06-11;M;24385;20240
Midtjylland;12-15;K;26174;25491
Midtjylland;12-15;M;27317;26549
Midtjylland;16-19;K;29623;29352
Midtjylland;16-19;M;30398;30031
Midtjylland;20-39;K;148755;146562
Midtjylland;20-39;M;151533;148869
Midtjylland;40-64;K;199187;198402
Midtjylland;40-64;M;197847;197007
Midtjylland;65-79;K;101984;101863
Midtjylland;65-79;M;96584;96465
Midtjylland;80+;K;36590;36518
Midtjylland;80+;M;26163;26125
Nordjylland;00-02;K;0;0
Nordjylland;00-02;M;0;0
Nordjylland;03-05;K;763;546
Nordjylland;03-05;M;836;586
Nordjylland;06-11;K;9348;7711
Nordjylland;06-11;M;9717;7955
Nordjylland;12-15;K;10900;10577
Nordjylland;12-15;M;11581;11217
Nordjylland;16-19;K;12325;12207
Nordjylland;16-19;M;12940;12748
Nordjylland;20-39;K;59630;58610
Nordjylland;20-39;M;64540;63162
Nordjylland;40-64;K;88444;88066
Nordjylland;40-64;M;88703;88278
Nordjylland;65-79;K;49823;49737
Nordjylland;65-79;M;47757;47684
Nordjylland;80+;K;18551;18524
Nordjylland;80+;M;13509;13488
Sjælland;00-02;K;0;0
Sjælland;00-02;M;0;0
Sjælland;03-05;K;980;707
Sjælland;03-05;M;1076;758
Sjælland;06-11;K;11812;9721
Sjælland;06-11;M;12592;10409
Sjælland;12-15;K;15697;15287
Sjælland;12-15;M;16655;16191
Sjælland;16-19;K;17878;17667
Sjælland;16-19;M;19083;18770
Sjælland;20-39;K;67643;66192
Sjælland;20-39;M;69763;68124
Sjælland;40-64;K;136290;135539
Sjælland;40-64;M;133688;132990
Sjælland;65-79;K;76274;76150
Sjælland;65-79;M;70883;70764
Sjælland;80+;K;26235;26167
Sjælland;80+;M;18773;18751
Syddanmark;00-02;K;2;1
Syddanmark;00-02;M;0;0
Syddanmark;03-05;K;1543;1143
Syddanmark;03-05;M;1652;1230
Syddanmark;06-11;K;19457;16369
Syddanmark;06-11;M;20678;17467
Syddanmark;12-15;K;23354;22692
Syddanmark;12-15;M;24548;23874
Syddanmark;16-19;K;26873;26580
Syddanmark;16-19;M;27440;27023
Syddanmark;20-39;K;115383;113320
Syddanmark;20-39;M;120108;117585
Syddanmark;40-64;K;188846;187991
Syddanmark;40-64;M;187764;186783
Syddanmark;65-79;K;102580;102440
Syddanmark;65-79;M;96990;96862
Syddanmark;80+;K;39342;39270
Syddanmark;80+;M;27833;27799
