Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     172 (52);     160 (48);     332
10-19;     322 (54);     275 (46);     597
20-29;   1.066 (62);     665 (38);   1.731
30-39;   1.080 (61);     704 (39);   1.784
40-49;   1.286 (60);     857 (40);   2.143
50-59;   1.333 (60);     893 (40);   2.226
60-69;     705 (50);     709 (50);   1.414
70-79;     475 (46);     567 (54);   1.042
80-89;     469 (57);     349 (43);     818
90+;     185 (72);      72 (28);     257
I alt;   7.093 (57);   5.251 (43);  12.344
